Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,87.85,89.0,87.6,88.8,3473648.0,ASHOKLEY
2016-01-04,90.75,92.3,90.2,92.0,17502163.0,ASHOKLEY
2016-01-05,93.0,93.35,92.35,93.1,10380113.0,ASHOKLEY
2016-01-06,93.25,94.15,92.05,92.7,8151682.0,ASHOKLEY
2016-01-07,91.9,92.4,90.35,91.35,9414939.0,ASHOKLEY
2016-01-08,92.1,92.6,90.3,90.75,6963108.0,ASHOKLEY
2016-01-11,92.0,92.9,90.3,92.4,9615889.0,ASHOKLEY
2016-01-12,93.35,93.95,91.2,92.1,6568778.0,ASHOKLEY
2016-01-13,93.05,93.2,86.4,90.2,11681049.0,ASHOKLEY
2016-01-14,88.0,90.75,87.15,88.6,8154318.0,ASHOKLEY
2016-01-15,89.3,89.65,84.5,85.1,6945294.0,ASHOKLEY
2016-01-18,85.2,85.35,81.5,83.1,13401345.0,ASHOKLEY
2016-01-19,83.4,87.15,83.3,86.8,11441816.0,ASHOKLEY
2016-01-20,85.3,85.7,82.1,83.45,9819841.0,ASHOKLEY
2016-01-21,85.0,85.25,82.25,83.6,7742611.0,ASHOKLEY
2016-01-22,85.0,86.5,84.2,85.7,7579720.0,ASHOKLEY
2016-01-25,86.9,87.25,86.1,86.75,6908496.0,ASHOKLEY
2016-01-27,87.2,88.8,85.8,88.3,10218006.0,ASHOKLEY
2016-01-28,88.5,89.5,87.7,88.15,11485187.0,ASHOKLEY
2016-01-29,88.4,89.9,87.75,89.6,6357193.0,ASHOKLEY
2016-02-01,89.8,92.5,89.6,91.5,11659536.0,ASHOKLEY
2016-02-02,91.8,93.0,90.0,90.5,6964213.0,ASHOKLEY
2016-02-03,88.55,89.9,85.65,86.85,9216469.0,ASHOKLEY
2016-02-04,88.3,89.2,86.8,87.6,9110003.0,ASHOKLEY
2016-02-05,88.05,91.1,87.65,90.6,8355455.0,ASHOKLEY
2016-02-08,90.85,92.45,88.65,89.2,6311100.0,ASHOKLEY
2016-02-09,88.0,89.1,86.8,88.25,6688529.0,ASHOKLEY
2016-02-10,87.8,88.2,85.35,87.35,8182342.0,ASHOKLEY
2016-02-11,87.95,88.0,77.7,80.9,17442913.0,ASHOKLEY
2016-02-12,84.5,84.5,80.35,83.2,19614698.0,ASHOKLEY
2016-02-15,85.0,90.0,84.7,89.65,12444831.0,ASHOKLEY
2016-02-16,90.5,91.0,86.9,87.25,8551128.0,ASHOKLEY
2016-02-17,87.5,90.5,85.1,90.0,11233960.0,ASHOKLEY
2016-02-18,90.9,91.1,86.75,89.8,9993452.0,ASHOKLEY
2016-02-19,89.35,91.5,88.85,91.2,8183697.0,ASHOKLEY
2016-02-22,91.9,92.7,91.3,92.2,8514736.0,ASHOKLEY
2016-02-23,92.35,92.6,88.85,89.2,10340834.0,ASHOKLEY
2016-02-24,88.55,89.2,87.25,87.5,10772885.0,ASHOKLEY
2016-02-25,88.0,88.25,85.75,85.95,12736836.0,ASHOKLEY
2016-02-26,87.4,87.6,84.85,85.55,9116692.0,ASHOKLEY
2016-02-29,85.85,89.0,84.45,87.65,16275473.0,ASHOKLEY
2016-03-01,88.2,91.35,88.2,91.05,17582988.0,ASHOKLEY
2016-03-02,92.5,94.35,92.0,93.45,12440686.0,ASHOKLEY
2016-03-03,94.2,95.05,92.3,94.25,10892546.0,ASHOKLEY
