Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,325.0,337.9,323.6,332.7,7005090.0,CADILAHC
2016-01-04,334.05,334.3,319.0,320.8,4827927.0,CADILAHC
2016-01-05,322.2,324.9,309.55,313.6,4874911.0,CADILAHC
2016-01-06,305.5,325.4,305.0,320.75,7555889.0,CADILAHC
2016-01-07,314.7,319.0,305.1,306.85,2850623.0,CADILAHC
2016-01-08,309.85,314.3,308.05,310.3,1615678.0,CADILAHC
2016-01-11,307.0,323.35,305.0,315.05,3814191.0,CADILAHC
2016-01-12,316.95,324.4,315.6,320.75,2784973.0,CADILAHC
2016-01-13,323.0,326.9,315.0,321.15,3225501.0,CADILAHC
2016-01-14,316.0,324.55,313.2,315.15,2398811.0,CADILAHC
2016-01-15,321.9,321.9,307.0,308.5,2081169.0,CADILAHC
2016-01-18,308.0,310.5,296.0,300.7,2290276.0,CADILAHC
2016-01-19,302.0,310.2,299.2,308.7,1729854.0,CADILAHC
2016-01-20,303.9,304.0,296.0,301.75,2113279.0,CADILAHC
2016-01-21,303.5,307.25,295.0,296.55,3104379.0,CADILAHC
2016-01-22,299.9,303.05,298.2,300.95,1079662.0,CADILAHC
2016-01-25,302.2,307.0,301.5,303.1,787133.0,CADILAHC
2016-01-27,305.3,305.8,302.0,304.95,766929.0,CADILAHC
2016-01-28,303.0,304.95,297.4,299.05,1624835.0,CADILAHC
2016-01-29,301.0,308.5,298.2,304.2,1801067.0,CADILAHC
2016-02-01,308.25,319.7,305.0,318.7,1926727.0,CADILAHC
2016-02-02,319.85,321.8,315.2,316.9,1856966.0,CADILAHC
2016-02-03,315.0,321.2,307.8,317.05,1354524.0,CADILAHC
2016-02-04,319.5,321.0,308.2,312.3,1242684.0,CADILAHC
2016-02-05,314.2,329.6,310.3,326.45,3736272.0,CADILAHC
2016-02-08,327.45,333.8,321.55,327.1,1503817.0,CADILAHC
2016-02-09,321.8,329.75,320.0,328.35,778119.0,CADILAHC
2016-02-10,326.0,327.4,320.5,326.45,619566.0,CADILAHC
2016-02-11,325.05,334.7,318.0,319.8,1350362.0,CADILAHC
2016-02-12,322.9,322.9,304.0,306.35,2642858.0,CADILAHC
2016-02-15,308.5,316.4,307.95,314.85,868622.0,CADILAHC
2016-02-16,315.5,316.75,309.5,311.45,524865.0,CADILAHC
2016-02-17,311.1,319.1,305.9,314.05,765709.0,CADILAHC
2016-02-18,317.1,324.85,315.9,322.4,896441.0,CADILAHC
2016-02-19,322.0,336.25,317.0,327.35,1514690.0,CADILAHC
2016-02-22,330.0,332.95,327.0,329.2,810910.0,CADILAHC
2016-02-23,330.0,332.85,326.15,330.5,744270.0,CADILAHC
2016-02-24,331.8,334.0,319.5,322.1,961670.0,CADILAHC
2016-02-25,322.0,328.0,319.75,325.8,1196333.0,CADILAHC
2016-02-26,327.5,329.2,318.0,320.35,712190.0,CADILAHC
2016-02-29,320.35,320.35,308.25,314.6,1375532.0,CADILAHC
2016-03-01,317.0,326.95,314.6,326.2,866369.0,CADILAHC
2016-03-02,330.0,337.55,326.15,330.25,1494980.0,CADILAHC
2016-03-03,332.9,336.45,328.8,333.3,650101.0,CADILAHC
2016-03-04,334.5,340.0,331.05,337.95,870554.0,CADILAHC
2016-03-08,336.0,338.6,330.5,335.7,738298.0,CADILAHC
2016-03-09,336.0,346.0,331.55,344.3,1458882.0,CADILAHC
2016-03-10,349.7,349.7,342.6,345.05,975692.0,CADILAHC
2016-03-11,348.3,348.3,340.8,344.65,763496.0,CADILAHC
2016-03-14,345.0,349.8,344.25,348.75,588653.0,CADILAHC
2016-03-15,348.05,348.8,336.2,338.55,634543.0,CADILAHC
2016-03-16,338.05,342.0,332.0,338.65,1063144.0,CADILAHC
2016-03-17,339.0,339.8,335.0,337.5,772343.0,CADILAHC
2016-03-18,337.0,342.2,334.9,341.35,588296.0,CADILAHC
2016-03-21,342.0,344.7,338.25,341.0,554791.0,CADILAHC
