Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,973.0,982.45,968.0,976.75,72201.0,COLPAL
2016-01-04,978.9,981.9,968.25,974.3,118642.0,COLPAL
2016-01-05,974.0,981.0,969.0,974.25,393481.0,COLPAL
2016-01-06,970.0,971.0,944.0,949.45,249575.0,COLPAL
2016-01-07,946.6,946.9,901.0,915.55,778725.0,COLPAL
2016-01-08,929.9,929.9,918.0,926.65,420221.0,COLPAL
2016-01-11,923.0,923.0,901.1,906.95,512859.0,COLPAL
2016-01-12,914.5,915.0,906.0,908.5,300600.0,COLPAL
2016-01-13,911.5,938.7,911.5,931.9,507566.0,COLPAL
2016-01-14,924.8,946.7,912.1,943.35,266295.0,COLPAL
2016-01-15,946.95,951.05,910.7,917.05,300778.0,COLPAL
2016-01-18,920.0,927.1,900.0,910.55,265587.0,COLPAL
2016-01-19,919.0,927.0,910.0,911.8,104204.0,COLPAL
2016-01-20,911.0,920.1,890.6,913.3,333703.0,COLPAL
2016-01-21,916.0,925.1,902.55,907.5,216992.0,COLPAL
2016-01-22,915.0,916.0,880.0,882.45,1208337.0,COLPAL
2016-01-25,883.0,889.95,862.0,865.4,761105.0,COLPAL
2016-01-27,867.0,883.9,850.1,853.65,1962977.0,COLPAL
2016-01-28,851.0,862.9,846.55,850.2,761199.0,COLPAL
2016-01-29,853.05,862.45,851.95,857.95,488016.0,COLPAL
2016-02-01,869.0,870.6,856.0,861.7,408883.0,COLPAL
2016-02-02,862.15,862.75,850.0,855.0,179524.0,COLPAL
2016-02-03,850.0,851.05,831.1,840.6,343631.0,COLPAL
2016-02-04,852.9,852.9,825.0,831.15,514691.0,COLPAL
2016-02-05,832.1,862.0,832.0,852.15,539214.0,COLPAL
2016-02-08,857.9,857.9,846.0,853.45,346265.0,COLPAL
2016-02-09,845.0,852.0,836.0,848.35,91835.0,COLPAL
2016-02-10,848.0,850.0,829.0,842.75,159977.0,COLPAL
2016-02-11,849.4,849.4,821.0,827.65,373922.0,COLPAL
2016-02-12,825.0,840.0,812.05,835.25,314119.0,COLPAL
2016-02-15,845.0,857.95,836.45,846.65,184067.0,COLPAL
2016-02-16,839.05,849.1,831.0,839.25,340200.0,COLPAL
2016-02-17,838.8,841.0,821.0,836.7,169575.0,COLPAL
2016-02-18,841.5,846.25,836.9,843.35,177340.0,COLPAL
2016-02-19,847.8,849.6,830.3,832.35,118131.0,COLPAL
2016-02-22,836.7,836.7,827.0,830.3,283904.0,COLPAL
2016-02-23,829.0,833.0,817.8,820.0,136656.0,COLPAL
2016-02-24,819.0,821.55,813.05,816.85,127449.0,COLPAL
2016-02-25,820.8,832.1,820.05,823.65,456080.0,COLPAL
2016-02-26,824.6,838.0,824.6,832.55,371336.0,COLPAL
2016-02-29,833.5,833.55,808.2,820.4,219357.0,COLPAL
2016-03-01,829.8,829.8,818.35,824.25,193574.0,COLPAL
2016-03-02,830.8,844.4,830.0,834.35,517839.0,COLPAL
2016-03-03,835.0,837.9,830.0,834.25,423910.0,COLPAL
2016-03-04,836.95,850.0,835.15,846.3,369332.0,COLPAL
2016-03-08,847.25,850.0,821.35,825.5,723826.0,COLPAL
2016-03-09,821.4,824.7,815.1,822.05,438433.0,COLPAL
2016-03-10,825.0,825.0,800.0,808.1,553305.0,COLPAL
2016-03-11,804.7,815.5,790.05,813.5,979571.0,COLPAL
2016-03-14,820.0,848.1,816.0,846.25,640045.0,COLPAL
2016-03-15,845.2,846.0,834.15,839.65,469456.0,COLPAL
2016-03-16,839.5,839.5,824.45,835.35,384590.0,COLPAL
2016-03-17,835.4,840.65,822.0,836.15,505941.0,COLPAL
2016-03-18,838.0,853.95,837.9,850.9,654035.0,COLPAL
2016-03-21,855.0,858.7,840.1,847.95,452149.0,COLPAL
2016-03-22,850.0,855.0,843.5,852.1,517806.0,COLPAL
2016-03-23,852.0,852.1,833.9,839.9,387269.0,COLPAL
2016-03-28,843.0,843.65,820.0,824.55,548686.0,COLPAL
2016-03-29,826.0,832.8,821.8,829.3,258385.0,COLPAL
2016-03-30,825.15,831.85,816.2,818.85,468250.0,COLPAL
2016-03-31,818.5,835.2,818.5,830.85,324278.0,COLPAL
2016-04-01,829.85,837.3,823.65,833.9,175341.0,COLPAL
2016-04-04,838.0,843.5,830.0,840.7,145719.0,COLPAL
2016-04-05,838.0,844.05,825.0,831.1,222379.0,COLPAL
2016-04-06,826.1,830.0,819.0,827.6,202165.0,COLPAL
2016-04-07,822.15,827.1,820.1,822.0,248538.0,COLPAL
2016-04-08,820.5,827.95,813.6,819.95,191379.0,COLPAL
2016-04-11,820.0,824.0,810.95,814.95,134225.0,COLPAL
2016-04-12,815.0,824.0,815.0,819.2,159837.0,COLPAL
2016-04-13,823.95,848.45,822.0,835.7,298959.0,COLPAL
2016-04-18,828.05,849.4,828.05,846.15,171256.0,COLPAL
2016-04-20,848.0,854.3,840.15,851.6,272701.0,COLPAL
2016-04-21,855.0,863.9,842.0,850.15,309701.0,COLPAL
2016-04-22,851.0,854.0,845.0,849.95,278971.0,COLPAL
2016-04-25,851.25,855.0,837.25,841.25,290912.0,COLPAL
2016-04-26,840.0,847.0,836.95,843.9,268481.0,COLPAL
2016-04-27,846.0,857.8,838.05,855.55,247252.0,COLPAL
2016-04-28,860.0,867.35,843.0,847.5,575969.0,COLPAL
2016-04-29,843.35,849.0,836.1,840.85,295317.0,COLPAL
2016-05-02,842.0,852.95,837.9,849.8,175077.0,COLPAL
2016-05-03,853.45,859.4,845.0,850.35,188473.0,COLPAL
2016-05-04,849.9,850.0,839.0,842.65,97174.0,COLPAL
2016-05-05,847.0,851.85,836.05,845.3,102090.0,COLPAL
2016-05-06,845.55,854.9,843.2,850.55,98144.0,COLPAL
2016-05-09,854.0,854.0,843.15,848.3,169435.0,COLPAL
2016-05-10,846.55,851.8,844.0,845.8,183343.0,COLPAL
2016-05-11,811.0,843.9,811.0,835.95,183038.0,COLPAL
2016-05-12,839.95,844.2,833.05,836.95,303176.0,COLPAL
2016-05-13,837.95,840.85,830.05,836.65,220630.0,COLPAL
2016-05-16,840.0,840.0,813.65,824.5,258759.0,COLPAL
2016-05-17,829.0,830.0,818.55,828.15,123575.0,COLPAL
2016-05-18,829.95,830.0,822.4,828.0,105665.0,COLPAL
2016-05-19,830.0,833.4,817.2,819.9,135693.0,COLPAL
2016-05-20,825.0,827.75,806.0,808.9,188693.0,COLPAL
2016-05-23,810.0,815.0,799.2,811.2,293041.0,COLPAL
2016-05-24,814.3,842.6,787.2,834.4,1353224.0,COLPAL
2016-05-25,839.1,841.85,821.9,834.9,238110.0,COLPAL
2016-05-26,835.0,839.0,821.5,835.5,404210.0,COLPAL
2016-05-27,838.0,846.75,830.1,839.3,141665.0,COLPAL
2016-05-30,838.0,857.9,835.8,853.8,196853.0,COLPAL
2016-05-31,854.8,866.35,853.8,861.35,249594.0,COLPAL
2016-06-01,863.0,865.0,847.5,849.25,224822.0,COLPAL
2016-06-02,854.95,873.6,853.0,863.1,449303.0,COLPAL
2016-06-03,862.0,871.2,861.05,866.75,334282.0,COLPAL
2016-06-06,866.0,870.0,852.85,854.75,101549.0,COLPAL
2016-06-07,855.0,859.2,851.6,855.15,180051.0,COLPAL
2016-06-08,854.5,868.9,854.0,864.7,145503.0,COLPAL
2016-06-09,867.0,868.0,853.1,855.8,162954.0,COLPAL
2016-06-10,856.9,881.0,854.0,872.05,364125.0,COLPAL
2016-06-13,871.95,873.35,857.35,862.9,171853.0,COLPAL
2016-06-14,863.1,875.0,856.0,860.7,114839.0,COLPAL
2016-06-15,862.35,868.0,856.0,859.45,105843.0,COLPAL
2016-06-16,860.45,870.9,850.55,868.25,374298.0,COLPAL
2016-06-17,867.0,870.0,852.85,855.6,233618.0,COLPAL
2016-06-20,853.6,868.5,852.1,866.7,78540.0,COLPAL
2016-06-21,868.0,886.9,862.1,884.25,338799.0,COLPAL
2016-06-22,886.7,891.9,881.3,886.0,269803.0,COLPAL
2016-06-23,891.4,891.4,880.0,882.15,99876.0,COLPAL
2016-06-24,877.0,890.5,854.0,885.3,266308.0,COLPAL
2016-06-27,878.0,888.85,876.15,885.9,381154.0,COLPAL
2016-06-28,886.0,900.0,878.4,898.25,414854.0,COLPAL
2016-06-29,905.0,910.0,899.7,908.7,422896.0,COLPAL
2016-06-30,910.0,923.9,910.0,918.5,580077.0,COLPAL
2016-07-01,921.05,922.9,910.7,920.05,160903.0,COLPAL
2016-07-04,921.95,927.7,916.6,925.7,212934.0,COLPAL
2016-07-05,920.0,946.45,917.95,941.7,233929.0,COLPAL
2016-07-07,943.4,948.0,940.1,947.1,149539.0,COLPAL
2016-07-08,946.9,949.0,940.0,946.45,322918.0,COLPAL
2016-07-11,947.55,954.5,941.0,944.85,131610.0,COLPAL
2016-07-12,944.0,944.0,927.0,932.95,223883.0,COLPAL
2016-07-13,935.0,935.0,918.55,924.3,183591.0,COLPAL
2016-07-14,928.95,939.8,918.85,931.2,212410.0,COLPAL
2016-07-15,931.5,940.5,924.65,926.8,154849.0,COLPAL
2016-07-18,928.0,936.0,923.85,928.9,282424.0,COLPAL
2016-07-19,927.1,943.75,923.6,941.0,447534.0,COLPAL
2016-07-20,945.0,952.0,940.4,949.05,356466.0,COLPAL
2016-07-21,949.0,964.5,944.65,959.65,384737.0,COLPAL
2016-07-22,959.8,961.0,947.0,955.25,216821.0,COLPAL
2016-07-25,953.0,964.0,945.5,961.7,295012.0,COLPAL
2016-07-26,954.1,971.5,954.1,967.75,211485.0,COLPAL
2016-07-27,964.7,971.7,937.8,943.2,352509.0,COLPAL
2016-07-28,942.0,944.95,920.0,931.4,387521.0,COLPAL
2016-07-29,931.0,938.0,930.0,933.35,242514.0,COLPAL
2016-08-01,935.75,954.85,935.05,951.65,223898.0,COLPAL
2016-08-02,952.0,987.7,950.0,968.65,305684.0,COLPAL
2016-08-03,969.85,969.85,930.55,936.15,459212.0,COLPAL
2016-08-04,945.0,953.75,930.75,942.7,449301.0,COLPAL
2016-08-05,944.3,961.55,944.2,959.85,125932.0,COLPAL
2016-08-08,962.0,1033.0,944.0,1015.25,2207134.0,COLPAL
2016-08-09,1014.9,1014.9,962.0,970.7,673190.0,COLPAL
2016-08-10,970.7,983.45,943.0,959.8,463907.0,COLPAL
2016-08-11,966.9,973.0,953.05,962.6,236784.0,COLPAL
2016-08-12,964.55,970.5,954.1,957.5,84251.0,COLPAL
2016-08-16,958.0,967.1,948.55,956.05,139632.0,COLPAL
2016-08-17,959.0,975.15,953.0,972.4,234040.0,COLPAL
2016-08-18,975.15,979.0,965.1,967.9,150158.0,COLPAL
2016-08-19,965.5,970.0,955.0,958.05,98999.0,COLPAL
2016-08-22,959.8,960.0,944.0,947.9,116274.0,COLPAL
2016-08-23,947.75,948.9,934.1,936.5,129978.0,COLPAL
2016-08-24,944.9,954.85,935.0,949.9,193194.0,COLPAL
2016-08-25,949.9,957.25,935.8,949.15,639562.0,COLPAL
2016-08-26,949.15,956.95,945.0,948.65,126349.0,COLPAL
2016-08-29,948.6,948.85,936.0,937.85,97162.0,COLPAL
2016-08-30,940.0,956.1,937.9,953.15,180782.0,COLPAL
2016-08-31,954.0,957.95,943.5,948.35,110547.0,COLPAL
2016-09-01,949.95,954.45,942.55,950.65,102001.0,COLPAL
2016-09-02,950.3,967.05,946.25,951.75,185528.0,COLPAL
2016-09-06,953.0,978.0,952.15,975.25,333693.0,COLPAL
2016-09-07,976.35,995.4,974.0,990.75,455726.0,COLPAL
2016-09-08,991.85,998.7,982.4,991.4,320581.0,COLPAL
2016-09-09,992.0,994.9,980.15,984.65,216515.0,COLPAL
2016-09-12,975.0,982.0,966.8,977.9,189756.0,COLPAL
2016-09-14,977.75,986.15,964.2,970.4,135420.0,COLPAL
2016-09-15,970.45,982.85,950.85,963.1,175491.0,COLPAL
2016-09-16,964.7,977.0,961.55,969.55,138503.0,COLPAL
2016-09-19,971.55,978.9,955.0,969.05,193344.0,COLPAL
2016-09-20,970.05,972.65,958.25,962.05,145947.0,COLPAL
2016-09-21,961.9,975.9,958.0,969.6,292384.0,COLPAL
2016-09-22,975.0,978.7,966.9,975.2,126798.0,COLPAL
2016-09-23,975.2,981.4,961.35,978.75,283494.0,COLPAL
2016-09-26,979.95,991.9,968.0,973.65,208613.0,COLPAL
2016-09-27,974.75,982.5,969.0,978.75,155034.0,COLPAL
2016-09-28,981.2,982.5,967.25,974.95,270234.0,COLPAL
2016-09-29,975.0,982.0,957.9,974.45,1201503.0,COLPAL
2016-09-30,975.0,980.0,959.05,970.65,357586.0,COLPAL
2016-10-03,971.75,989.0,971.5,982.85,336680.0,COLPAL
2016-10-04,984.95,999.0,977.4,979.95,236064.0,COLPAL
2016-10-05,979.95,986.3,968.3,979.25,173714.0,COLPAL
2016-10-06,979.2,993.8,971.4,976.9,264953.0,COLPAL
2016-10-07,976.0,984.0,962.6,969.25,218229.0,COLPAL
2016-10-10,970.35,978.0,963.2,965.4,114425.0,COLPAL
2016-10-13,955.25,965.0,927.0,932.7,424819.0,COLPAL
2016-10-14,932.0,938.75,911.1,920.45,234547.0,COLPAL
2016-10-17,920.05,927.9,908.15,912.55,159201.0,COLPAL
2016-10-18,913.6,922.0,912.35,918.75,182804.0,COLPAL
2016-10-19,921.1,941.35,916.05,937.4,309025.0,COLPAL
2016-10-20,930.0,949.4,930.0,943.95,186333.0,COLPAL
2016-10-21,942.95,959.85,936.95,954.6,159894.0,COLPAL
2016-10-24,954.0,966.85,954.0,963.2,168511.0,COLPAL
2016-10-25,964.25,964.25,940.05,944.1,182264.0,COLPAL
2016-10-26,941.1,944.9,918.0,926.95,200407.0,COLPAL
2016-10-27,925.0,949.0,924.95,936.2,1335055.0,COLPAL
2016-10-28,937.25,992.8,936.2,973.15,530474.0,COLPAL
2016-10-30,963.0,977.4,963.0,970.85,63906.0,COLPAL
2016-11-01,972.0,977.0,957.15,973.05,158688.0,COLPAL
2016-11-02,960.1,967.8,954.8,956.55,128775.0,COLPAL
2016-11-03,956.0,964.5,950.0,954.45,85959.0,COLPAL
2016-11-04,980.0,1031.2,972.15,984.15,1792996.0,COLPAL
2016-11-07,987.0,993.9,972.4,977.0,340385.0,COLPAL
2016-11-08,978.0,984.2,969.25,979.1,181442.0,COLPAL
2016-11-09,917.35,979.1,899.2,972.5,249019.0,COLPAL
2016-11-10,972.5,987.8,957.0,963.75,138258.0,COLPAL
2016-11-11,959.0,963.1,945.05,949.05,140665.0,COLPAL
2016-11-15,949.1,949.15,895.35,914.8,304832.0,COLPAL
2016-11-16,917.0,938.0,914.1,926.55,228147.0,COLPAL
2016-11-17,920.15,935.1,920.15,926.85,172074.0,COLPAL
2016-11-18,929.0,934.0,915.35,917.4,162148.0,COLPAL
2016-11-21,920.0,921.85,884.5,886.65,303185.0,COLPAL
2016-11-22,888.15,908.45,880.0,903.6,358543.0,COLPAL
2016-11-23,906.0,927.5,901.3,923.8,216232.0,COLPAL
