Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,276.45,278.9,275.75,276.4,124367.0,DABUR
2016-01-04,276.25,281.0,275.5,276.9,554107.0,DABUR
2016-01-05,276.9,279.5,273.9,275.95,629235.0,DABUR
2016-01-06,276.3,280.9,274.3,275.9,750275.0,DABUR
2016-01-07,275.0,275.0,265.95,267.7,910959.0,DABUR
2016-01-08,268.75,271.9,268.0,269.05,579211.0,DABUR
2016-01-11,267.0,267.55,261.65,263.1,1259036.0,DABUR
2016-01-12,264.0,264.0,253.2,254.9,1520863.0,DABUR
2016-01-13,255.85,257.9,249.0,256.85,1266564.0,DABUR
2016-01-14,255.8,261.8,252.2,259.8,1136944.0,DABUR
2016-01-15,258.6,261.3,249.5,250.3,390418.0,DABUR
2016-01-18,249.5,252.0,245.0,247.3,813644.0,DABUR
2016-01-19,247.3,254.0,246.5,249.55,852044.0,DABUR
2016-01-20,248.0,251.9,247.4,249.25,948030.0,DABUR
2016-01-21,249.5,251.5,238.95,240.4,1598807.0,DABUR
2016-01-22,241.3,245.1,239.0,240.95,1104880.0,DABUR
2016-01-25,242.0,242.45,236.35,237.25,1288751.0,DABUR
2016-01-27,236.0,237.7,231.5,236.85,2994537.0,DABUR
2016-01-28,236.0,245.0,236.0,243.5,2276163.0,DABUR
2016-01-29,245.8,252.65,243.15,250.65,1975624.0,DABUR
2016-02-01,250.9,252.5,248.05,251.05,1161891.0,DABUR
2016-02-02,250.95,252.4,239.5,241.15,1141536.0,DABUR
2016-02-03,240.35,247.75,238.45,243.45,1841938.0,DABUR
2016-02-04,245.5,248.4,244.9,247.25,933205.0,DABUR
2016-02-05,246.2,252.0,246.1,251.3,570371.0,DABUR
2016-02-08,250.2,253.25,249.35,250.95,1355234.0,DABUR
2016-02-09,250.0,251.45,247.7,249.25,562650.0,DABUR
2016-02-10,249.0,249.5,240.6,242.9,2019507.0,DABUR
2016-02-11,243.5,245.9,237.0,239.15,814826.0,DABUR
2016-02-12,241.3,249.35,238.0,247.8,1768414.0,DABUR
2016-02-15,247.8,251.7,241.1,248.9,587206.0,DABUR
2016-02-16,247.15,252.4,242.05,245.1,903440.0,DABUR
2016-02-17,243.35,243.9,239.0,241.45,708900.0,DABUR
2016-02-18,243.9,245.45,242.2,243.75,625392.0,DABUR
2016-02-19,243.95,245.2,240.8,244.4,641453.0,DABUR
2016-02-22,244.4,249.7,243.05,248.6,704507.0,DABUR
2016-02-23,250.0,250.9,237.1,238.9,938836.0,DABUR
2016-02-24,239.95,240.8,234.25,236.35,793064.0,DABUR
2016-02-25,237.45,241.7,233.5,238.6,1273986.0,DABUR
2016-02-26,241.15,242.7,238.0,241.3,649723.0,DABUR
2016-02-29,242.8,242.8,235.0,237.15,1241678.0,DABUR
2016-03-01,237.15,243.4,237.0,241.95,1854784.0,DABUR
2016-03-02,243.0,246.8,242.1,243.55,2676742.0,DABUR
2016-03-03,244.75,246.65,241.1,245.1,2382139.0,DABUR
2016-03-04,242.55,253.0,242.55,249.55,863628.0,DABUR
2016-03-08,248.0,251.3,245.95,248.6,814441.0,DABUR
2016-03-09,246.8,247.0,241.4,245.85,1948003.0,DABUR
2016-03-10,246.0,247.9,244.1,245.95,823429.0,DABUR
2016-03-11,246.0,251.0,244.1,249.85,781595.0,DABUR
2016-03-14,252.3,254.5,249.5,251.05,1255475.0,DABUR
2016-03-15,253.7,253.7,245.85,247.4,1913003.0,DABUR
2016-03-16,245.8,249.8,244.15,247.25,2569912.0,DABUR
2016-03-17,247.8,250.0,246.3,247.95,1021608.0,DABUR
2016-03-18,249.0,250.9,245.6,249.6,1033786.0,DABUR
2016-03-21,251.0,253.9,250.0,253.1,612911.0,DABUR
