Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,115.95,122.0,115.2,121.55,13839642.0,DLF
2016-01-04,120.4,122.75,117.55,118.4,11343369.0,DLF
2016-01-05,119.4,121.1,118.0,118.4,23815902.0,DLF
2016-01-06,118.9,119.3,114.25,114.75,10845589.0,DLF
2016-01-07,113.0,113.0,105.75,106.8,24867867.0,DLF
2016-01-08,107.3,113.6,107.05,112.2,22157004.0,DLF
2016-01-11,109.25,113.4,107.55,112.2,11597335.0,DLF
2016-01-12,113.25,113.55,107.55,109.5,9515402.0,DLF
2016-01-13,111.5,114.0,104.25,110.1,19405771.0,DLF
2016-01-14,106.95,108.4,105.0,105.85,14789012.0,DLF
2016-01-15,106.35,107.7,98.45,99.65,14467548.0,DLF
2016-01-18,100.3,101.6,95.1,96.05,13670077.0,DLF
2016-01-19,96.0,98.1,93.45,96.15,13598821.0,DLF
2016-01-20,93.9,93.9,90.0,92.25,15236321.0,DLF
2016-01-21,93.7,94.7,90.3,91.65,11253754.0,DLF
2016-01-22,93.05,95.75,92.5,94.55,11036494.0,DLF
2016-01-25,95.8,95.8,92.1,93.5,8165215.0,DLF
2016-01-27,94.65,97.25,93.8,95.65,10692219.0,DLF
2016-01-28,95.3,95.8,93.6,94.45,11425084.0,DLF
2016-01-29,94.65,97.45,92.9,96.35,8899820.0,DLF
2016-02-01,96.5,98.0,95.7,96.75,7072185.0,DLF
2016-02-02,96.5,97.35,92.6,93.35,8889021.0,DLF
2016-02-03,93.0,96.85,92.4,93.35,15694636.0,DLF
2016-02-04,94.7,96.0,93.95,94.65,10105186.0,DLF
2016-02-05,94.7,96.45,93.25,95.85,7240006.0,DLF
2016-02-08,96.8,101.15,96.0,96.6,14149568.0,DLF
2016-02-09,94.85,97.3,94.45,95.5,7210910.0,DLF
2016-02-10,95.35,95.65,89.0,90.4,13605261.0,DLF
2016-02-11,90.05,90.3,80.0,81.3,20934839.0,DLF
2016-02-12,83.4,83.4,72.35,80.8,24614028.0,DLF
2016-02-15,83.2,90.6,83.2,89.65,13690696.0,DLF
2016-02-16,91.25,91.95,85.05,85.7,13751512.0,DLF
2016-02-17,86.1,89.0,83.3,88.45,11679234.0,DLF
2016-02-18,89.5,90.65,83.8,86.6,10288734.0,DLF
2016-02-19,86.7,89.2,85.5,88.05,8330679.0,DLF
2016-02-22,88.85,89.6,87.55,89.0,6052510.0,DLF
2016-02-23,88.9,89.05,84.4,85.0,8318356.0,DLF
2016-02-24,83.9,86.6,83.6,85.0,7187259.0,DLF
