Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,3315.0,3317.15,3288.0,3294.85,1950.0,GLAXO
2016-01-04,3277.0,3299.0,3244.95,3258.2,5653.0,GLAXO
2016-01-05,3259.95,3299.0,3230.0,3277.8,5485.0,GLAXO
2016-01-06,3258.25,3294.95,3252.0,3277.05,3135.0,GLAXO
2016-01-07,3267.0,3273.85,3216.0,3233.3,5982.0,GLAXO
2016-01-08,3225.0,3325.0,3225.0,3295.5,9828.0,GLAXO
2016-01-11,3295.0,3295.0,3218.0,3230.6,6218.0,GLAXO
2016-01-12,3220.05,3297.95,3220.05,3270.05,6601.0,GLAXO
2016-01-13,3290.0,3310.0,3210.0,3294.1,9048.0,GLAXO
2016-01-14,3289.5,3298.0,3210.0,3233.1,6809.0,GLAXO
2016-01-15,3239.95,3254.0,3185.0,3207.45,5288.0,GLAXO
2016-01-18,3161.0,3201.15,3144.9,3162.25,7184.0,GLAXO
2016-01-19,3166.95,3300.0,3144.0,3204.4,24887.0,GLAXO
2016-01-20,3168.0,3168.0,3101.2,3142.85,11895.0,GLAXO
2016-01-21,3150.05,3168.4,3032.05,3068.75,12227.0,GLAXO
2016-01-22,3074.0,3229.0,3055.1,3159.65,10922.0,GLAXO
2016-01-25,3210.0,3212.0,3161.2,3184.1,3208.0,GLAXO
2016-01-27,3194.0,3248.4,3160.0,3230.65,3737.0,GLAXO
2016-01-28,3201.0,3248.0,3187.25,3229.6,3367.0,GLAXO
2016-01-29,3221.0,3275.0,3211.15,3236.4,5783.0,GLAXO
2016-02-01,3237.0,3312.7,3200.0,3297.2,7952.0,GLAXO
2016-02-02,3295.9,3300.0,3236.0,3262.2,15388.0,GLAXO
2016-02-03,3262.0,3262.0,3200.1,3208.1,11349.0,GLAXO
2016-02-04,3210.0,3245.5,3182.35,3226.8,4454.0,GLAXO
2016-02-05,3226.0,3348.8,3215.0,3306.3,8560.0,GLAXO
2016-02-08,3290.0,3306.0,3252.65,3296.6,2651.0,GLAXO
2016-02-09,3260.65,3289.3,3228.9,3243.7,2173.0,GLAXO
2016-02-10,3241.0,3283.95,3220.0,3244.7,6291.0,GLAXO
2016-02-11,3240.0,3240.0,3180.0,3202.2,9254.0,GLAXO
2016-02-12,3236.95,3250.0,3117.0,3222.25,6089.0,GLAXO
2016-02-15,3195.0,3246.0,3191.2,3215.6,3736.0,GLAXO
2016-02-16,3186.0,3225.0,3155.0,3179.8,3453.0,GLAXO
2016-02-17,3172.0,3248.5,3150.0,3217.15,5743.0,GLAXO
2016-02-18,3240.0,3240.0,3186.0,3205.2,7327.0,GLAXO
2016-02-19,3150.05,3248.0,3150.05,3223.05,3088.0,GLAXO
2016-02-22,3222.95,3235.0,3178.05,3228.3,3155.0,GLAXO
2016-02-23,3198.75,3245.0,3185.0,3227.3,2917.0,GLAXO
2016-02-24,3218.95,3227.0,3180.15,3213.8,12433.0,GLAXO
2016-02-25,3210.95,3210.95,3125.0,3147.8,8685.0,GLAXO
2016-02-26,3147.0,3169.0,3118.3,3146.1,5590.0,GLAXO
2016-02-29,3142.0,3202.75,3090.05,3157.4,7043.0,GLAXO
2016-03-01,3157.0,3224.4,3156.95,3196.0,7245.0,GLAXO
2016-03-02,3193.75,3277.0,3185.6,3249.0,14065.0,GLAXO
2016-03-03,3232.15,3232.15,3180.0,3198.5,6019.0,GLAXO
2016-03-04,3198.5,3270.0,3192.1,3251.35,7148.0,GLAXO
2016-03-08,3215.05,3249.95,3190.0,3204.0,5396.0,GLAXO
2016-03-09,3209.8,3259.0,3197.5,3249.35,4502.0,GLAXO
2016-03-10,3227.8,3255.0,3205.0,3230.95,4719.0,GLAXO
2016-03-11,3224.45,3270.0,3205.1,3244.85,3970.0,GLAXO
2016-03-14,3229.95,3294.4,3205.35,3259.9,4988.0,GLAXO
2016-03-15,3258.0,3748.9,3219.9,3277.5,10897.0,GLAXO
2016-03-16,3277.0,3350.0,3240.5,3325.05,13604.0,GLAXO
2016-03-17,3325.0,3388.0,3300.0,3366.4,7450.0,GLAXO
2016-03-18,3365.95,3409.8,3333.0,3399.6,8270.0,GLAXO
2016-03-21,3398.95,3535.0,3370.65,3457.5,14728.0,GLAXO
2016-03-22,3461.0,3599.0,3409.0,3539.0,18517.0,GLAXO
2016-03-23,3549.0,3719.0,3490.0,3695.7,23748.0,GLAXO
2016-03-28,3700.0,3718.0,3595.05,3698.05,12314.0,GLAXO
2016-03-29,3650.05,3747.0,3602.1,3676.1,21017.0,GLAXO
2016-03-30,3676.0,3799.0,3663.2,3772.95,20297.0,GLAXO
2016-03-31,3769.95,3872.0,3710.15,3814.75,16038.0,GLAXO
2016-04-01,3802.0,3850.0,3767.55,3811.1,8840.0,GLAXO
2016-04-04,3794.95,3804.95,3720.0,3758.05,9820.0,GLAXO
2016-04-05,3749.95,3749.95,3681.75,3705.6,3413.0,GLAXO
2016-04-06,3700.0,3736.0,3640.85,3720.45,5705.0,GLAXO
2016-04-07,3679.75,3699.0,3651.0,3675.3,5204.0,GLAXO
2016-04-08,3655.05,3698.45,3655.0,3683.2,2469.0,GLAXO
2016-04-11,3651.5,3688.7,3641.0,3677.65,3606.0,GLAXO
2016-04-12,3675.0,3691.2,3660.0,3675.85,2777.0,GLAXO
2016-04-13,3680.85,3750.0,3671.2,3737.45,6587.0,GLAXO
2016-04-18,3737.0,3740.0,3685.0,3713.45,4194.0,GLAXO
2016-04-20,3690.0,3755.7,3670.0,3710.5,5121.0,GLAXO
2016-04-21,3718.95,3733.05,3676.2,3703.1,4758.0,GLAXO
2016-04-22,3704.05,3709.95,3650.0,3666.55,5441.0,GLAXO
2016-04-25,3646.6,3680.0,3625.2,3664.05,2337.0,GLAXO
2016-04-26,3624.0,3794.0,3624.0,3745.0,8403.0,GLAXO
2016-04-27,3701.2,3818.0,3701.2,3768.9,7064.0,GLAXO
2016-04-28,3764.35,3793.0,3720.0,3746.7,5557.0,GLAXO
2016-04-29,3746.0,3775.0,3690.0,3731.4,4364.0,GLAXO
2016-05-02,3730.3,3737.0,3662.45,3672.55,8228.0,GLAXO
2016-05-03,3675.0,3676.9,3605.0,3626.2,5190.0,GLAXO
2016-05-04,3639.95,3640.0,3540.0,3627.7,7801.0,GLAXO
2016-05-05,3627.2,3628.95,3556.25,3609.4,3960.0,GLAXO
2016-05-06,3609.05,3623.95,3565.15,3582.25,2120.0,GLAXO
2016-05-09,3582.0,3605.0,3565.0,3592.1,4881.0,GLAXO
2016-05-10,3592.05,3615.0,3505.5,3533.85,7071.0,GLAXO
2016-05-11,3533.0,3598.0,3500.0,3536.75,5510.0,GLAXO
2016-05-12,3537.0,3560.05,3439.95,3467.65,15875.0,GLAXO
2016-05-13,3449.95,3465.7,3382.0,3415.1,12560.0,GLAXO
2016-05-16,3415.0,3463.95,3415.0,3435.4,4181.0,GLAXO
2016-05-17,3444.95,3444.95,3404.0,3417.6,3474.0,GLAXO
2016-05-18,3435.0,3478.0,3376.0,3388.7,7407.0,GLAXO
2016-05-19,3388.95,3399.5,3326.15,3345.2,3609.0,GLAXO
2016-05-20,3349.0,3410.0,3349.0,3390.9,2686.0,GLAXO
2016-05-23,3400.0,3406.95,3352.35,3378.3,2593.0,GLAXO
2016-05-24,3378.0,3425.05,3350.0,3403.55,3690.0,GLAXO
2016-05-25,3405.0,3526.0,3352.0,3436.0,16457.0,GLAXO
2016-05-26,3475.0,3545.0,3440.45,3505.7,10921.0,GLAXO
2016-05-27,3455.0,3620.0,3436.2,3528.35,9321.0,GLAXO
2016-05-30,3482.0,3594.0,3482.0,3572.25,5264.0,GLAXO
2016-05-31,3528.5,3569.4,3526.0,3554.45,3945.0,GLAXO
2016-06-01,3554.0,3574.35,3525.0,3532.3,3099.0,GLAXO
2016-06-02,3559.65,3574.2,3462.5,3533.9,3614.0,GLAXO
2016-06-03,3532.95,3555.0,3506.0,3538.6,2728.0,GLAXO
2016-06-06,3533.9,3549.5,3500.55,3516.75,3359.0,GLAXO
2016-06-07,3532.95,3548.0,3485.4,3524.8,3086.0,GLAXO
2016-06-08,3515.0,3528.0,3502.05,3519.6,2579.0,GLAXO
2016-06-09,3501.0,3534.0,3485.0,3504.6,2803.0,GLAXO
2016-06-10,3499.95,3515.05,3480.0,3496.95,2053.0,GLAXO
2016-06-13,3496.0,3524.0,3466.0,3498.55,1826.0,GLAXO
2016-06-14,3494.1,3499.0,3475.0,3491.15,1930.0,GLAXO
2016-06-15,3498.95,3550.0,3475.0,3519.3,3620.0,GLAXO
2016-06-16,3517.0,3518.0,3475.0,3483.8,2903.0,GLAXO
2016-06-17,3485.0,3570.9,3485.0,3527.45,5382.0,GLAXO
2016-06-20,3485.25,3514.45,3477.1,3498.85,3041.0,GLAXO
2016-06-21,3498.0,3533.0,3482.3,3514.3,7036.0,GLAXO
2016-06-22,3510.0,3548.0,3440.0,3457.55,9345.0,GLAXO
2016-06-23,3457.0,3484.0,3401.35,3416.2,10222.0,GLAXO
2016-06-24,3375.0,3490.0,3375.0,3475.25,9981.0,GLAXO
2016-06-27,3475.0,3512.0,3436.0,3490.15,4493.0,GLAXO
2016-06-28,3498.0,3512.0,3476.0,3503.85,3236.0,GLAXO
2016-06-29,3510.0,3525.0,3465.0,3499.75,3250.0,GLAXO
2016-06-30,3518.9,3525.0,3466.0,3487.4,5556.0,GLAXO
2016-07-01,3504.0,3510.0,3450.0,3468.9,12043.0,GLAXO
2016-07-04,3489.0,3515.0,3471.1,3503.1,3180.0,GLAXO
2016-07-05,3503.1,3513.55,3480.0,3495.15,3788.0,GLAXO
2016-07-07,3470.0,3545.05,3464.0,3519.3,8984.0,GLAXO
2016-07-08,3519.3,3528.0,3481.0,3487.8,2879.0,GLAXO
2016-07-11,3481.1,3530.0,3481.1,3519.6,5622.0,GLAXO
2016-07-12,3522.3,3537.0,3500.0,3512.6,5326.0,GLAXO
