Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,921.9,927.95,921.05,923.75,112028.0,GLENMARK
2016-01-04,926.8,948.95,920.55,930.55,574348.0,GLENMARK
2016-01-05,939.9,943.25,929.95,935.05,488035.0,GLENMARK
2016-01-06,930.05,954.0,901.5,906.95,1068823.0,GLENMARK
2016-01-07,895.0,898.9,861.0,866.25,1052693.0,GLENMARK
2016-01-08,867.05,882.0,855.0,858.7,1375826.0,GLENMARK
2016-01-11,847.25,861.65,837.35,842.45,724929.0,GLENMARK
2016-01-12,845.7,858.0,844.5,849.35,734498.0,GLENMARK
2016-01-13,855.0,876.5,850.1,871.6,884907.0,GLENMARK
2016-01-14,851.5,874.0,851.5,865.85,637380.0,GLENMARK
2016-01-15,872.0,874.05,825.0,830.9,645012.0,GLENMARK
2016-01-18,828.9,828.9,760.75,764.35,791684.0,GLENMARK
2016-01-19,777.0,797.9,750.45,783.6,801284.0,GLENMARK
2016-01-20,774.0,792.0,765.2,786.45,690111.0,GLENMARK
2016-01-21,800.0,800.0,735.2,740.15,1563955.0,GLENMARK
2016-01-22,755.0,760.65,740.8,752.5,1173948.0,GLENMARK
2016-01-25,764.6,779.1,750.1,754.3,1016589.0,GLENMARK
2016-01-27,760.0,765.75,733.8,737.8,1009439.0,GLENMARK
2016-01-28,740.85,759.0,736.0,750.65,1342169.0,GLENMARK
2016-01-29,745.0,779.15,727.7,771.35,1700984.0,GLENMARK
2016-02-01,782.0,806.8,774.5,796.0,1169067.0,GLENMARK
2016-02-02,798.1,799.65,747.8,754.35,1094002.0,GLENMARK
2016-02-03,753.7,761.6,741.0,744.75,608166.0,GLENMARK
2016-02-04,754.0,757.5,712.0,724.6,975420.0,GLENMARK
2016-02-05,728.6,743.25,714.5,733.9,744048.0,GLENMARK
2016-02-08,744.8,758.6,736.25,750.5,458229.0,GLENMARK
2016-02-09,736.05,744.5,730.05,735.1,726271.0,GLENMARK
2016-02-10,736.9,738.95,715.0,726.65,675729.0,GLENMARK
2016-02-11,723.4,727.45,712.8,720.4,700191.0,GLENMARK
2016-02-12,726.0,726.0,671.1,691.85,1706690.0,GLENMARK
2016-02-15,702.5,723.55,692.0,710.05,728730.0,GLENMARK
2016-02-16,725.0,727.05,701.3,704.7,835900.0,GLENMARK
2016-02-17,705.1,724.95,692.65,721.55,569660.0,GLENMARK
2016-02-18,728.0,761.85,714.65,729.35,976360.0,GLENMARK
2016-02-19,733.0,750.8,725.0,748.15,348861.0,GLENMARK
2016-02-22,753.9,753.9,733.55,747.5,256617.0,GLENMARK
2016-02-23,751.0,758.0,742.1,747.45,365639.0,GLENMARK
2016-02-24,746.7,749.0,732.35,743.6,673136.0,GLENMARK
2016-02-25,743.45,744.0,733.0,737.3,726928.0,GLENMARK
2016-02-26,741.7,746.85,722.2,736.6,380829.0,GLENMARK
2016-02-29,738.0,740.0,715.45,735.65,470540.0,GLENMARK
2016-03-01,739.8,764.7,730.7,761.05,499645.0,GLENMARK
2016-03-02,777.0,788.85,764.4,780.1,557114.0,GLENMARK
2016-03-03,785.0,795.7,779.7,792.7,369531.0,GLENMARK
2016-03-04,798.8,820.0,790.2,812.2,451032.0,GLENMARK
2016-03-08,812.35,838.0,800.1,808.4,573286.0,GLENMARK
2016-03-09,807.5,824.0,796.0,819.6,415818.0,GLENMARK
2016-03-10,815.25,833.0,815.25,824.25,468102.0,GLENMARK
2016-03-11,820.0,830.65,813.0,823.9,550607.0,GLENMARK
2016-03-14,825.0,842.8,816.1,832.15,554304.0,GLENMARK
2016-03-15,840.0,844.0,807.0,813.4,511868.0,GLENMARK
2016-03-16,815.4,833.85,800.2,828.45,497829.0,GLENMARK
2016-03-17,835.0,835.0,804.5,809.3,947183.0,GLENMARK
2016-03-18,810.0,810.0,776.0,800.4,970256.0,GLENMARK
2016-03-21,802.0,817.0,795.0,814.4,260210.0,GLENMARK
2016-03-22,814.0,825.0,809.5,821.15,362124.0,GLENMARK
2016-03-23,828.0,835.0,820.0,821.85,383190.0,GLENMARK
2016-03-28,830.0,834.0,805.3,815.05,323975.0,GLENMARK
2016-03-29,811.8,811.8,775.25,780.65,832152.0,GLENMARK
2016-03-30,780.0,781.0,763.1,774.75,1240824.0,GLENMARK
2016-03-31,776.9,798.7,776.9,795.05,844189.0,GLENMARK
2016-04-01,789.7,796.75,781.25,792.25,377571.0,GLENMARK
2016-04-04,798.0,804.5,787.8,800.2,233437.0,GLENMARK
2016-04-05,800.2,802.5,783.05,788.75,305386.0,GLENMARK
2016-04-06,780.0,791.7,768.3,771.15,466249.0,GLENMARK
2016-04-07,770.5,782.0,762.0,764.6,507276.0,GLENMARK
2016-04-08,766.0,771.4,763.0,766.15,149057.0,GLENMARK
