Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,6406.2,6406.2,6336.0,6369.3,1580.0,GSKCONS
2016-01-04,6369.0,6590.0,6351.15,6496.4,9280.0,GSKCONS
2016-01-05,6525.0,6620.0,6370.0,6589.65,4328.0,GSKCONS
2016-01-06,6505.3,6695.0,6505.3,6675.7,10191.0,GSKCONS
2016-01-07,6570.0,6668.95,6479.95,6547.1,5769.0,GSKCONS
2016-01-08,6585.0,6585.0,6422.1,6530.2,7846.0,GSKCONS
2016-01-11,6455.7,6511.55,6200.1,6245.65,8477.0,GSKCONS
2016-01-12,6299.0,6315.4,6155.0,6180.4,7164.0,GSKCONS
2016-01-13,6249.95,6282.95,6012.0,6167.6,6677.0,GSKCONS
2016-01-14,6170.0,6170.0,5962.0,5993.65,12922.0,GSKCONS
2016-01-15,6004.05,6100.0,5905.0,5953.0,4502.0,GSKCONS
2016-01-18,5950.0,6033.4,5860.0,5898.15,6948.0,GSKCONS
2016-01-19,5898.0,6025.0,5870.0,5939.45,10334.0,GSKCONS
2016-01-20,5880.0,5909.8,5558.0,5784.7,10647.0,GSKCONS
2016-01-21,5788.0,5866.0,5601.0,5673.35,8003.0,GSKCONS
2016-01-22,5731.15,5808.6,5631.05,5692.1,17494.0,GSKCONS
2016-01-25,5740.0,5780.0,5575.95,5605.5,35201.0,GSKCONS
2016-01-27,5631.0,5710.0,5610.0,5663.75,10144.0,GSKCONS
2016-01-28,5636.0,5870.0,5636.0,5820.55,17046.0,GSKCONS
2016-01-29,5848.95,5854.95,5762.0,5838.75,13557.0,GSKCONS
2016-02-01,5830.0,5900.0,5818.4,5887.75,12566.0,GSKCONS
2016-02-02,5890.65,5905.0,5825.5,5856.75,12764.0,GSKCONS
2016-02-03,5880.2,5880.2,5667.1,5690.15,5679.0,GSKCONS
2016-02-04,5735.95,5817.0,5699.95,5790.15,6728.0,GSKCONS
2016-02-05,5774.0,5866.1,5670.0,5761.85,5304.0,GSKCONS
2016-02-08,5750.8,5898.0,5750.8,5845.85,4639.0,GSKCONS
2016-02-09,5851.0,5935.0,5800.0,5844.6,22855.0,GSKCONS
2016-02-10,5844.0,5930.0,5728.5,5812.1,42902.0,GSKCONS
2016-02-11,5731.5,5899.0,5731.5,5799.05,15733.0,GSKCONS
2016-02-12,5990.0,5990.0,5552.35,5699.45,14506.0,GSKCONS
2016-02-15,5850.0,5850.0,5781.15,5807.2,7707.0,GSKCONS
2016-02-16,5760.1,5781.05,5555.0,5594.3,40778.0,GSKCONS
2016-02-17,5630.0,5650.0,5511.0,5542.5,9092.0,GSKCONS
2016-02-18,5610.0,5660.0,5556.7,5600.1,28384.0,GSKCONS
2016-02-19,5649.0,5649.0,5555.0,5565.05,3711.0,GSKCONS
2016-02-22,5565.0,5670.0,5565.0,5616.2,50892.0,GSKCONS
2016-02-23,5620.0,5644.95,5534.0,5608.5,4863.0,GSKCONS
2016-02-24,5608.0,5625.0,5557.0,5610.1,4236.0,GSKCONS
2016-02-25,5610.0,5620.0,5575.25,5589.85,26318.0,GSKCONS
2016-02-26,5589.0,5670.55,5545.0,5579.9,35406.0,GSKCONS
2016-02-29,5642.0,5642.0,5500.1,5562.5,21921.0,GSKCONS
2016-03-01,5598.45,5619.95,5405.0,5418.65,23147.0,GSKCONS
2016-03-02,5499.0,5648.0,5450.0,5623.3,12106.0,GSKCONS
2016-03-03,5616.95,5649.9,5606.45,5628.85,19891.0,GSKCONS
2016-03-04,5628.85,5638.8,5585.0,5622.3,153214.0,GSKCONS
2016-03-08,5658.6,5674.45,5580.05,5650.0,38462.0,GSKCONS
2016-03-09,5600.0,5688.5,5600.0,5649.6,10481.0,GSKCONS
2016-03-10,5665.0,5665.1,5613.15,5664.65,17323.0,GSKCONS
2016-03-11,5612.0,5691.0,5612.0,5674.85,13427.0,GSKCONS
2016-03-14,5674.85,5789.0,5516.05,5624.15,17551.0,GSKCONS
2016-03-15,5624.3,5677.0,5624.15,5649.95,57069.0,GSKCONS
2016-03-16,5604.65,5753.8,5604.65,5743.45,110478.0,GSKCONS
2016-03-17,5750.0,6010.85,5750.0,5944.1,33760.0,GSKCONS
2016-03-18,5900.3,5995.0,5804.95,5969.8,15733.0,GSKCONS
2016-03-21,5850.0,6000.0,5850.0,5982.3,7540.0,GSKCONS
2016-03-22,5989.05,6015.0,5932.65,5982.4,10485.0,GSKCONS
2016-03-23,5910.0,5999.0,5839.95,5959.5,8273.0,GSKCONS
2016-03-28,5852.0,6030.0,5852.0,5999.75,6915.0,GSKCONS
2016-03-29,5999.6,6077.95,5962.5,6038.35,38842.0,GSKCONS
2016-03-30,6080.0,6080.0,6010.4,6043.2,3536.0,GSKCONS
2016-03-31,6000.0,6045.0,5881.8,6036.75,30751.0,GSKCONS
2016-04-01,5950.0,6045.0,5950.0,6039.2,8353.0,GSKCONS
2016-04-04,6100.0,6100.0,5930.0,6000.9,6037.0,GSKCONS
2016-04-05,6052.5,6066.05,5980.15,6036.2,4650.0,GSKCONS
2016-04-06,6002.0,6049.95,5828.05,5871.4,11232.0,GSKCONS
2016-04-07,5909.0,5990.0,5882.0,5930.05,3027.0,GSKCONS
2016-04-08,5940.6,6038.95,5906.0,6011.3,4094.0,GSKCONS
2016-04-11,5965.0,6130.0,5923.0,6069.85,4614.0,GSKCONS
2016-04-12,6020.0,6062.05,5984.35,6048.1,6870.0,GSKCONS
2016-04-13,5995.2,6100.0,5995.2,6026.5,8071.0,GSKCONS
2016-04-18,6049.95,6080.0,6003.05,6067.0,8535.0,GSKCONS
2016-04-20,6074.0,6098.8,5980.0,6016.8,5131.0,GSKCONS
2016-04-21,6025.0,6102.0,5910.8,6023.35,7419.0,GSKCONS
2016-04-22,5950.0,6068.9,5950.0,6007.1,3891.0,GSKCONS
2016-04-25,5995.0,6021.05,5950.0,6009.55,3570.0,GSKCONS
2016-04-26,5958.05,5998.2,5912.05,5965.7,11823.0,GSKCONS
2016-04-27,6039.0,6040.0,5969.65,6016.45,6170.0,GSKCONS
2016-04-28,6005.45,6034.75,5940.05,5982.6,7986.0,GSKCONS
2016-04-29,5974.55,5974.55,5877.7,5897.6,7617.0,GSKCONS
2016-05-02,5921.9,5936.6,5775.0,5793.85,14344.0,GSKCONS
2016-05-03,5770.05,5847.95,5770.05,5824.15,35029.0,GSKCONS
2016-05-04,5824.0,5889.8,5802.1,5867.2,7192.0,GSKCONS
2016-05-05,5858.7,5879.95,5806.0,5857.7,3910.0,GSKCONS
2016-05-06,5865.0,5919.95,5850.0,5873.65,2130.0,GSKCONS
2016-05-09,5873.65,5929.9,5832.4,5874.15,7149.0,GSKCONS
2016-05-10,5844.5,5898.0,5815.55,5883.05,6736.0,GSKCONS
2016-05-11,5854.5,6000.0,5835.1,5953.1,3434.0,GSKCONS
2016-05-12,5990.65,6100.0,5950.0,6082.9,5032.0,GSKCONS
2016-05-13,6083.95,6084.0,5981.0,6000.1,6628.0,GSKCONS
2016-05-16,6000.0,6035.0,5994.95,6007.05,5503.0,GSKCONS
2016-05-17,6050.0,6184.1,5999.95,6095.0,13484.0,GSKCONS
2016-05-18,5850.0,5938.9,5779.0,5854.45,27990.0,GSKCONS
2016-05-19,5855.0,5855.0,5795.1,5817.8,26598.0,GSKCONS
2016-05-20,5810.05,5838.9,5790.0,5815.8,13384.0,GSKCONS
2016-05-23,5847.5,5874.7,5795.05,5810.15,11620.0,GSKCONS
2016-05-24,5827.0,5827.0,5710.95,5730.2,22318.0,GSKCONS
2016-05-25,5732.0,5754.45,5605.0,5631.35,15030.0,GSKCONS
2016-05-26,5630.0,5882.5,5629.1,5792.85,14297.0,GSKCONS
2016-05-27,5791.95,5950.0,5746.85,5912.8,8897.0,GSKCONS
2016-05-30,5919.0,6036.0,5880.0,5993.55,9027.0,GSKCONS
2016-05-31,5953.8,5970.0,5725.0,5746.3,33821.0,GSKCONS
2016-06-01,5785.0,5837.0,5725.0,5750.25,28655.0,GSKCONS
2016-06-02,5775.0,5799.0,5681.05,5702.55,26650.0,GSKCONS
2016-06-03,5723.0,5800.0,5706.6,5730.05,5861.0,GSKCONS
2016-06-06,5730.0,5750.0,5650.0,5677.2,10977.0,GSKCONS
2016-06-07,5689.9,5763.95,5677.0,5748.15,18178.0,GSKCONS
2016-06-08,5748.0,5795.15,5680.0,5759.3,21256.0,GSKCONS
2016-06-09,5759.0,5759.0,5667.0,5675.6,13214.0,GSKCONS
2016-06-10,5675.0,5699.0,5627.0,5668.7,19084.0,GSKCONS
2016-06-13,5707.0,5707.0,5601.0,5625.85,12896.0,GSKCONS
2016-06-14,5649.0,5650.0,5580.0,5626.95,45891.0,GSKCONS
2016-06-15,5629.05,5638.75,5590.0,5597.2,36449.0,GSKCONS
2016-06-16,5619.0,5629.0,5580.55,5618.6,7305.0,GSKCONS
2016-06-17,5631.0,5655.0,5594.0,5625.2,16326.0,GSKCONS
2016-06-20,5625.2,5660.0,5601.5,5647.0,3703.0,GSKCONS
2016-06-21,5647.0,5790.0,5647.0,5785.55,13020.0,GSKCONS
2016-06-22,5785.0,5947.95,5762.65,5930.45,13100.0,GSKCONS
