Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,142.95,144.45,142.2,143.2,1017096.0,IDEA
2016-01-04,141.25,142.4,134.65,135.6,2764995.0,IDEA
2016-01-05,136.25,138.0,134.45,135.35,1940968.0,IDEA
2016-01-06,135.5,138.0,133.8,134.5,3795030.0,IDEA
2016-01-07,133.65,135.25,131.05,133.4,3126079.0,IDEA
2016-01-08,132.05,134.0,131.55,133.1,1943579.0,IDEA
2016-01-11,132.4,132.55,129.25,129.8,2888672.0,IDEA
2016-01-12,130.35,130.85,123.85,125.85,3284593.0,IDEA
2016-01-13,126.15,127.4,120.0,121.1,4216665.0,IDEA
2016-01-14,119.5,121.8,117.1,119.3,6472461.0,IDEA
2016-01-15,120.25,121.9,111.5,112.75,4673541.0,IDEA
2016-01-18,112.05,113.45,109.65,111.45,4136270.0,IDEA
2016-01-19,112.2,117.95,110.55,116.7,2423238.0,IDEA
2016-01-20,115.65,118.5,112.2,117.55,4620708.0,IDEA
2016-01-21,118.5,120.0,113.15,113.95,5234627.0,IDEA
2016-01-22,113.95,115.8,105.5,106.85,16875423.0,IDEA
2016-01-25,108.0,109.05,104.75,106.95,6289093.0,IDEA
2016-01-27,107.3,110.6,106.3,109.5,8929049.0,IDEA
2016-01-28,108.5,110.0,104.05,104.6,10576731.0,IDEA
2016-01-29,105.2,106.8,102.3,103.15,5696060.0,IDEA
2016-02-01,104.05,105.65,103.4,105.1,5130401.0,IDEA
2016-02-02,105.0,106.85,103.2,104.05,6507830.0,IDEA
2016-02-03,102.75,104.65,99.75,103.5,4031354.0,IDEA
2016-02-04,105.0,105.3,99.15,100.0,4558239.0,IDEA
2016-02-05,100.9,101.9,99.8,101.4,3377108.0,IDEA
2016-02-08,101.5,104.7,101.45,102.05,2326758.0,IDEA
2016-02-09,101.0,103.45,100.0,102.2,1762253.0,IDEA
2016-02-10,104.9,104.9,97.2,100.05,3052983.0,IDEA
2016-02-11,100.1,103.9,98.8,101.15,5373953.0,IDEA
2016-02-12,101.7,111.25,100.2,109.65,6935469.0,IDEA
2016-02-15,109.5,112.2,107.2,109.2,4531720.0,IDEA
2016-02-16,111.5,112.35,104.75,105.15,3618269.0,IDEA
2016-02-17,104.2,108.6,103.5,108.0,2619288.0,IDEA
2016-02-18,109.0,109.4,105.0,107.7,4073193.0,IDEA
2016-02-19,105.8,110.0,105.5,108.4,5041738.0,IDEA
2016-02-22,108.5,110.95,108.15,109.5,1909091.0,IDEA
2016-02-23,109.5,110.0,104.25,106.75,2581921.0,IDEA
2016-02-24,106.0,108.25,104.25,104.7,2789633.0,IDEA
2016-02-25,105.1,107.55,103.65,106.25,6941995.0,IDEA
2016-02-26,106.25,106.45,103.35,105.65,2028471.0,IDEA
2016-02-29,105.0,106.25,102.8,104.3,4249669.0,IDEA
2016-03-01,104.0,106.0,103.15,105.45,3560097.0,IDEA
2016-03-02,105.7,108.5,105.4,106.75,2916532.0,IDEA
2016-03-03,107.0,109.7,106.25,108.35,2896685.0,IDEA
2016-03-04,108.5,109.35,104.5,105.65,3907709.0,IDEA
2016-03-08,106.0,107.1,104.65,105.9,8377238.0,IDEA
2016-03-09,105.9,107.25,103.6,106.1,1909540.0,IDEA
2016-03-10,107.0,107.05,104.0,104.65,3580671.0,IDEA
2016-03-11,103.6,105.95,101.3,102.2,3564631.0,IDEA
2016-03-14,103.0,103.45,101.1,101.3,3130816.0,IDEA
2016-03-15,101.2,101.5,98.8,99.1,4384936.0,IDEA
2016-03-16,99.25,99.55,98.05,98.4,3697392.0,IDEA
2016-03-17,99.25,101.5,98.75,100.5,8949487.0,IDEA
2016-03-18,102.4,103.5,101.2,102.05,6464653.0,IDEA
2016-03-21,102.2,103.0,101.55,102.05,4141592.0,IDEA
2016-03-22,102.5,102.95,101.5,102.05,5035309.0,IDEA
2016-03-23,102.5,106.5,102.0,104.95,9142844.0,IDEA
2016-03-28,105.5,106.35,103.5,105.35,5280286.0,IDEA
2016-03-29,105.6,108.4,105.4,107.35,3830356.0,IDEA
2016-03-30,108.65,110.45,106.75,109.2,4376794.0,IDEA
2016-03-31,108.5,115.1,107.75,110.2,10301654.0,IDEA
2016-04-01,110.5,110.8,106.4,107.1,4306765.0,IDEA
2016-04-04,107.3,114.3,107.3,113.45,7192986.0,IDEA
2016-04-05,113.5,113.5,108.75,109.4,4505886.0,IDEA
2016-04-06,109.4,113.5,109.35,111.1,3286847.0,IDEA
2016-04-07,111.8,111.8,108.85,109.35,1656526.0,IDEA
2016-04-08,109.4,110.0,107.25,109.05,1779658.0,IDEA
2016-04-11,109.6,115.5,108.75,115.2,4961713.0,IDEA
2016-04-12,116.0,116.8,112.3,113.05,4362954.0,IDEA
2016-04-13,114.9,116.7,113.6,114.65,6911443.0,IDEA
2016-04-18,115.2,122.0,115.2,120.7,7575658.0,IDEA
2016-04-20,121.0,121.45,116.6,116.9,5379893.0,IDEA
2016-04-21,116.75,118.65,115.7,117.0,3535261.0,IDEA
2016-04-22,115.1,118.5,115.0,117.65,2569412.0,IDEA
2016-04-25,117.45,119.15,117.0,118.15,2909082.0,IDEA
2016-04-26,118.1,124.4,118.1,123.75,6112762.0,IDEA
2016-04-27,123.5,127.6,123.05,125.0,5653181.0,IDEA
2016-04-28,125.05,128.35,125.05,126.5,8621945.0,IDEA
2016-04-29,122.5,124.8,115.3,118.55,14291305.0,IDEA
2016-05-02,118.0,119.7,116.1,117.7,3489083.0,IDEA
2016-05-03,118.0,121.25,117.0,119.9,3611075.0,IDEA
2016-05-04,118.55,121.05,117.35,119.85,2419644.0,IDEA
2016-05-05,120.8,120.95,111.6,113.5,6199079.0,IDEA
2016-05-06,113.0,114.8,112.05,114.2,4157214.0,IDEA
2016-05-09,114.5,115.45,112.5,113.45,3561462.0,IDEA
2016-05-10,114.1,114.5,112.25,112.75,3248802.0,IDEA
2016-05-11,112.3,117.45,109.8,110.8,11957350.0,IDEA
2016-05-12,111.8,113.25,111.2,111.95,2993623.0,IDEA
2016-05-13,112.45,114.4,111.95,113.55,4810846.0,IDEA
2016-05-16,113.85,114.05,110.5,112.1,2739691.0,IDEA
2016-05-17,112.8,114.65,110.75,111.2,4272191.0,IDEA
