Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,510.0,512.4,505.6,508.35,725602.0,LICHSGFIN
2016-01-04,506.8,513.8,488.0,489.7,1780246.0,LICHSGFIN
2016-01-05,492.1,505.25,490.0,501.1,1737344.0,LICHSGFIN
2016-01-06,500.95,504.7,495.9,499.6,1915892.0,LICHSGFIN
2016-01-07,494.0,495.95,482.25,486.0,1653669.0,LICHSGFIN
2016-01-08,490.0,511.5,490.0,505.1,1851155.0,LICHSGFIN
2016-01-11,499.95,504.95,495.0,500.15,1946534.0,LICHSGFIN
2016-01-12,496.8,500.0,490.4,491.95,1943150.0,LICHSGFIN
2016-01-13,494.05,502.55,476.35,489.35,2752260.0,LICHSGFIN
2016-01-14,480.6,489.35,478.55,484.95,1427096.0,LICHSGFIN
2016-01-15,486.0,490.5,463.0,466.45,2058421.0,LICHSGFIN
2016-01-18,468.0,478.5,455.55,463.65,2716013.0,LICHSGFIN
2016-01-19,466.0,472.2,461.0,469.8,1909408.0,LICHSGFIN
2016-01-20,463.9,464.65,450.1,460.2,2290943.0,LICHSGFIN
2016-01-21,467.3,476.0,463.3,467.45,1738620.0,LICHSGFIN
2016-01-22,476.0,488.75,471.1,483.95,1694387.0,LICHSGFIN
2016-01-25,490.0,490.0,481.05,482.25,888358.0,LICHSGFIN
2016-01-27,485.0,485.7,473.7,480.15,2486470.0,LICHSGFIN
2016-01-28,480.0,480.0,471.45,474.55,1983849.0,LICHSGFIN
2016-01-29,475.0,478.35,469.4,475.9,2324659.0,LICHSGFIN
2016-02-01,477.8,479.85,466.2,468.25,1673527.0,LICHSGFIN
2016-02-02,465.25,471.8,447.95,450.95,2315078.0,LICHSGFIN
2016-02-03,442.95,448.4,436.15,442.8,1938783.0,LICHSGFIN
2016-02-04,447.4,451.4,432.35,437.55,1494775.0,LICHSGFIN
2016-02-05,436.15,451.0,436.15,447.5,1525157.0,LICHSGFIN
2016-02-08,449.0,453.2,441.9,444.2,1543689.0,LICHSGFIN
2016-02-09,437.0,438.55,423.0,424.3,2196808.0,LICHSGFIN
2016-02-10,421.45,434.8,415.0,430.05,2385475.0,LICHSGFIN
2016-02-11,427.0,429.85,404.25,406.6,2295447.0,LICHSGFIN
2016-02-12,409.0,413.5,393.3,408.8,3406381.0,LICHSGFIN
2016-02-15,416.0,432.8,414.2,427.95,1718289.0,LICHSGFIN
2016-02-16,428.25,431.1,408.85,411.75,2320305.0,LICHSGFIN
2016-02-17,413.85,414.0,402.05,406.05,4262838.0,LICHSGFIN
2016-02-18,411.7,417.0,405.1,408.7,2659037.0,LICHSGFIN
2016-02-19,410.0,421.2,406.75,419.55,2167101.0,LICHSGFIN
2016-02-22,421.95,425.6,416.6,424.0,2833261.0,LICHSGFIN
2016-02-23,425.5,428.4,414.35,415.9,2411915.0,LICHSGFIN
2016-02-24,410.0,412.5,396.05,397.35,3099765.0,LICHSGFIN
2016-02-25,398.6,398.7,388.65,391.35,3110374.0,LICHSGFIN
2016-02-26,396.0,409.9,396.0,408.35,2609070.0,LICHSGFIN
2016-02-29,413.0,431.9,404.4,421.85,4999742.0,LICHSGFIN
2016-03-01,423.9,441.85,423.5,439.2,3519958.0,LICHSGFIN
2016-03-02,445.0,458.0,444.0,452.5,3303549.0,LICHSGFIN
2016-03-03,454.1,454.5,444.3,446.15,2132529.0,LICHSGFIN
2016-03-04,448.0,452.35,440.05,448.2,1770464.0,LICHSGFIN
2016-03-08,448.2,455.5,444.4,448.8,1925341.0,LICHSGFIN
2016-03-09,448.9,464.0,445.75,460.95,2372508.0,LICHSGFIN
2016-03-10,467.0,467.45,456.65,458.3,1434148.0,LICHSGFIN
2016-03-11,459.3,467.4,458.0,462.2,1828708.0,LICHSGFIN
2016-03-14,465.0,467.0,454.0,456.2,1761035.0,LICHSGFIN
2016-03-15,456.9,459.55,451.6,453.95,1288562.0,LICHSGFIN
2016-03-16,454.75,455.95,438.15,445.75,2648818.0,LICHSGFIN
2016-03-17,448.5,457.6,447.7,450.6,1582990.0,LICHSGFIN
2016-03-18,452.7,464.9,446.65,463.6,2009123.0,LICHSGFIN
2016-03-21,465.25,472.95,461.1,470.95,1361871.0,LICHSGFIN
2016-03-22,471.5,479.85,469.85,477.95,2514134.0,LICHSGFIN
2016-03-23,479.0,480.0,473.1,477.75,1944593.0,LICHSGFIN
2016-03-28,477.75,483.45,467.65,471.3,1736193.0,LICHSGFIN
2016-03-29,473.6,481.8,466.6,476.85,1506712.0,LICHSGFIN
2016-03-30,481.95,489.0,477.0,488.15,2455941.0,LICHSGFIN
2016-03-31,489.9,495.4,482.05,493.15,2989954.0,LICHSGFIN
2016-04-01,489.2,493.5,483.25,485.6,1707690.0,LICHSGFIN
2016-04-04,488.0,493.0,484.65,486.7,1288527.0,LICHSGFIN
2016-04-05,483.5,485.0,465.0,467.6,3119230.0,LICHSGFIN
2016-04-06,469.95,472.7,463.15,467.65,2130319.0,LICHSGFIN
2016-04-07,468.0,471.8,461.6,464.75,1571825.0,LICHSGFIN
2016-04-08,467.25,479.0,464.4,476.8,2032592.0,LICHSGFIN
2016-04-11,479.7,482.3,473.0,476.9,2114782.0,LICHSGFIN
2016-04-12,478.0,482.3,475.75,478.4,1227136.0,LICHSGFIN
2016-04-13,481.9,487.0,479.05,480.75,2656044.0,LICHSGFIN
2016-04-18,484.9,490.0,479.5,485.45,4573681.0,LICHSGFIN
2016-04-20,486.9,488.45,465.6,466.9,5013387.0,LICHSGFIN
2016-04-21,468.9,472.45,460.5,464.85,3835844.0,LICHSGFIN
2016-04-22,464.9,467.9,458.65,460.5,3029944.0,LICHSGFIN
2016-04-25,459.0,459.7,453.2,456.85,2088426.0,LICHSGFIN
2016-04-26,455.0,463.15,453.95,461.0,2895576.0,LICHSGFIN
2016-04-27,463.0,466.9,461.4,462.55,1909292.0,LICHSGFIN
2016-04-28,463.8,467.5,453.3,456.75,2482700.0,LICHSGFIN
2016-04-29,458.0,464.4,455.7,462.3,2167583.0,LICHSGFIN
2016-05-02,459.4,463.5,458.15,460.35,1014787.0,LICHSGFIN
2016-05-03,462.0,465.0,452.2,454.85,1928545.0,LICHSGFIN
2016-05-04,451.7,456.0,447.65,451.35,1499612.0,LICHSGFIN
2016-05-05,453.4,455.8,442.0,449.4,2237513.0,LICHSGFIN
2016-05-06,449.4,453.5,445.55,450.2,1031883.0,LICHSGFIN
