Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,293.0,297.9,290.75,297.0,636154.0,MOTHERSUMI
2016-01-04,295.0,304.2,284.2,285.95,2168878.0,MOTHERSUMI
2016-01-05,283.95,293.8,278.55,289.55,2031112.0,MOTHERSUMI
2016-01-06,289.0,292.8,280.0,281.1,1431907.0,MOTHERSUMI
2016-01-07,278.2,279.4,265.1,267.65,3266788.0,MOTHERSUMI
2016-01-08,272.2,275.1,269.0,270.85,2592237.0,MOTHERSUMI
2016-01-11,267.75,274.6,261.05,269.6,1534654.0,MOTHERSUMI
2016-01-12,271.0,273.65,260.75,265.8,1661746.0,MOTHERSUMI
2016-01-13,267.0,278.25,263.2,272.25,3059871.0,MOTHERSUMI
2016-01-14,264.3,268.0,256.05,261.9,3781696.0,MOTHERSUMI
2016-01-15,258.9,259.4,247.65,251.5,4318184.0,MOTHERSUMI
2016-01-18,247.55,251.45,237.1,242.0,4131478.0,MOTHERSUMI
2016-01-19,245.0,253.6,240.25,249.1,4317189.0,MOTHERSUMI
2016-01-20,246.85,254.35,242.8,252.6,2640980.0,MOTHERSUMI
2016-01-21,254.15,258.95,241.4,247.8,3094763.0,MOTHERSUMI
2016-01-22,251.0,260.3,249.2,256.65,1394402.0,MOTHERSUMI
2016-01-25,258.05,264.8,255.75,259.0,1732340.0,MOTHERSUMI
2016-01-27,261.0,264.0,256.0,261.75,1397584.0,MOTHERSUMI
2016-01-28,261.85,263.4,255.1,257.3,2063172.0,MOTHERSUMI
2016-01-29,257.0,268.6,256.05,266.15,1367443.0,MOTHERSUMI
2016-02-01,268.1,278.5,267.0,269.0,1392242.0,MOTHERSUMI
2016-02-02,266.5,269.7,256.3,257.65,1919341.0,MOTHERSUMI
2016-02-03,254.6,257.45,245.6,247.65,2863694.0,MOTHERSUMI
2016-02-04,252.65,264.8,250.8,262.75,3193652.0,MOTHERSUMI
2016-02-05,264.75,270.2,260.1,269.0,1353585.0,MOTHERSUMI
2016-02-08,269.0,275.4,264.5,271.55,1631073.0,MOTHERSUMI
2016-02-09,271.5,276.9,235.8,241.7,16594484.0,MOTHERSUMI
2016-02-10,239.7,244.8,228.75,232.4,7694004.0,MOTHERSUMI
2016-02-11,230.9,235.0,215.8,220.9,3945159.0,MOTHERSUMI
2016-02-12,222.9,230.5,211.55,225.6,5771519.0,MOTHERSUMI
2016-02-15,228.0,243.6,227.55,240.55,2328514.0,MOTHERSUMI
2016-02-16,245.0,245.4,224.55,226.9,2754261.0,MOTHERSUMI
2016-02-17,227.8,227.8,210.9,222.75,6610118.0,MOTHERSUMI
2016-02-18,230.0,230.75,218.55,223.4,3526905.0,MOTHERSUMI
2016-02-19,220.0,227.0,218.45,224.6,2302701.0,MOTHERSUMI
2016-02-22,225.25,226.4,218.6,220.0,2689644.0,MOTHERSUMI
2016-02-23,220.45,220.9,207.3,212.5,5794087.0,MOTHERSUMI
2016-02-24,208.5,216.0,208.1,212.15,2714439.0,MOTHERSUMI
2016-02-25,212.0,213.9,205.9,210.8,3029788.0,MOTHERSUMI
2016-02-26,212.8,221.7,212.2,220.6,2911695.0,MOTHERSUMI
2016-02-29,221.7,229.6,219.45,226.5,3357379.0,MOTHERSUMI
2016-03-01,228.5,242.7,226.8,233.1,3042162.0,MOTHERSUMI
2016-03-02,238.1,246.5,236.0,244.65,2716998.0,MOTHERSUMI
2016-03-03,246.2,250.9,243.75,249.95,1824436.0,MOTHERSUMI
2016-03-04,248.9,248.9,236.8,239.7,1786980.0,MOTHERSUMI
2016-03-08,237.55,250.5,237.05,246.5,4823134.0,MOTHERSUMI
2016-03-09,246.0,247.1,238.75,242.9,1744640.0,MOTHERSUMI
2016-03-10,244.9,244.9,237.4,239.5,1882433.0,MOTHERSUMI
2016-03-11,239.05,247.2,238.35,245.25,1605185.0,MOTHERSUMI
2016-03-14,249.0,251.5,245.55,249.8,3290146.0,MOTHERSUMI
2016-03-15,249.6,250.6,244.0,245.25,2272362.0,MOTHERSUMI
2016-03-16,243.6,245.25,238.25,241.0,1215004.0,MOTHERSUMI
2016-03-17,244.95,249.75,244.5,246.1,1544973.0,MOTHERSUMI
2016-03-18,247.0,251.6,245.5,250.05,2683785.0,MOTHERSUMI
2016-03-21,252.0,257.5,251.2,254.05,1818306.0,MOTHERSUMI
2016-03-22,253.9,253.9,248.05,250.9,1190944.0,MOTHERSUMI
2016-03-23,252.75,256.5,252.2,254.4,1240821.0,MOTHERSUMI
2016-03-28,255.8,255.8,242.4,243.4,1249899.0,MOTHERSUMI
2016-03-29,244.0,253.2,240.6,246.5,1821332.0,MOTHERSUMI
2016-03-30,249.0,258.4,248.8,256.2,2416069.0,MOTHERSUMI
2016-03-31,256.6,269.75,255.7,266.45,5350652.0,MOTHERSUMI
2016-04-01,264.7,264.7,258.45,261.95,2246476.0,MOTHERSUMI
2016-04-04,262.45,266.6,258.25,260.8,2449545.0,MOTHERSUMI
2016-04-05,259.7,261.4,249.9,251.3,1574747.0,MOTHERSUMI
2016-04-06,251.5,252.85,243.2,248.05,1827855.0,MOTHERSUMI
2016-04-07,250.0,252.0,242.25,243.65,1464566.0,MOTHERSUMI
2016-04-08,243.8,246.35,241.0,243.95,1078440.0,MOTHERSUMI
2016-04-11,245.0,256.5,242.05,253.0,1796053.0,MOTHERSUMI
2016-04-12,255.7,257.5,250.5,250.95,1479715.0,MOTHERSUMI
2016-04-13,253.95,259.25,253.2,257.9,1301182.0,MOTHERSUMI
2016-04-18,257.2,263.95,254.3,261.65,1438318.0,MOTHERSUMI
2016-04-20,262.05,271.8,261.0,268.7,2753377.0,MOTHERSUMI
2016-04-21,271.95,276.4,268.25,273.1,3012480.0,MOTHERSUMI
2016-04-22,273.0,278.8,271.15,273.9,2067778.0,MOTHERSUMI
2016-04-25,270.0,270.0,258.8,261.95,2532308.0,MOTHERSUMI
2016-04-26,259.0,267.0,255.1,263.45,1598916.0,MOTHERSUMI
2016-04-27,263.45,265.0,261.75,263.0,738490.0,MOTHERSUMI
2016-04-28,264.0,267.75,257.5,258.3,2699056.0,MOTHERSUMI
2016-04-29,257.2,262.2,250.8,252.35,1577643.0,MOTHERSUMI
2016-05-02,251.85,261.7,249.0,260.35,1417404.0,MOTHERSUMI
2016-05-03,262.8,265.2,256.1,258.95,1331068.0,MOTHERSUMI
2016-05-04,257.0,259.65,251.9,253.95,709061.0,MOTHERSUMI
2016-05-05,253.4,257.4,251.7,253.8,650539.0,MOTHERSUMI
2016-05-06,253.8,258.0,252.2,256.8,618324.0,MOTHERSUMI
2016-05-09,257.35,260.25,254.6,255.85,575176.0,MOTHERSUMI
2016-05-10,256.0,257.5,251.4,253.05,832175.0,MOTHERSUMI
2016-05-11,251.0,256.8,248.75,255.7,924156.0,MOTHERSUMI
2016-05-12,256.0,268.0,256.0,267.2,2243715.0,MOTHERSUMI
2016-05-13,266.0,266.7,258.35,263.35,1133438.0,MOTHERSUMI
2016-05-16,264.0,269.8,262.85,267.9,1170109.0,MOTHERSUMI
2016-05-17,269.8,304.65,262.0,290.4,22145254.0,MOTHERSUMI
2016-05-18,288.95,288.95,274.5,276.1,5700335.0,MOTHERSUMI
2016-05-19,276.3,280.9,269.45,271.15,2786561.0,MOTHERSUMI
2016-05-20,273.0,273.2,266.25,267.85,2828605.0,MOTHERSUMI
2016-05-23,269.0,270.1,262.0,264.05,1995811.0,MOTHERSUMI
2016-05-24,264.7,268.4,255.15,256.45,3396675.0,MOTHERSUMI
2016-05-25,256.8,267.05,256.8,265.7,5602181.0,MOTHERSUMI
2016-05-26,266.5,276.5,262.9,273.6,6053720.0,MOTHERSUMI
2016-05-27,276.1,280.3,274.85,279.25,2954059.0,MOTHERSUMI
2016-05-30,278.1,286.75,276.0,284.25,2561173.0,MOTHERSUMI
2016-05-31,284.4,286.6,276.8,284.75,2699036.0,MOTHERSUMI
2016-06-01,285.0,299.8,282.85,292.75,6163271.0,MOTHERSUMI
2016-06-02,291.5,294.0,288.2,290.85,1848948.0,MOTHERSUMI
2016-06-03,290.0,291.0,274.55,275.9,5404361.0,MOTHERSUMI
2016-06-06,271.9,282.0,271.7,280.45,2657687.0,MOTHERSUMI
2016-06-07,280.0,288.0,279.6,287.1,2309345.0,MOTHERSUMI
2016-06-08,287.1,293.75,285.55,290.45,2100162.0,MOTHERSUMI
2016-06-09,291.0,292.2,285.35,289.6,1404415.0,MOTHERSUMI
2016-06-10,290.0,294.0,285.15,288.75,2486905.0,MOTHERSUMI
2016-06-13,284.75,287.95,281.5,286.3,1339467.0,MOTHERSUMI
2016-06-14,286.7,291.5,283.5,290.3,2376441.0,MOTHERSUMI
2016-06-15,295.0,298.25,292.2,293.85,2333625.0,MOTHERSUMI
2016-06-16,290.7,293.65,286.2,292.65,1427356.0,MOTHERSUMI
2016-06-17,294.0,295.0,289.15,290.7,1488310.0,MOTHERSUMI
2016-06-20,288.0,299.45,286.05,295.35,2590584.0,MOTHERSUMI
2016-06-21,298.3,308.1,297.4,301.35,4217587.0,MOTHERSUMI
2016-06-22,302.9,307.3,298.25,302.8,4409827.0,MOTHERSUMI
2016-06-23,300.6,304.25,295.85,302.0,2756170.0,MOTHERSUMI
2016-06-24,272.0,282.0,264.5,275.5,14924673.0,MOTHERSUMI
2016-06-27,272.0,277.0,270.5,272.9,4387363.0,MOTHERSUMI
