Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,89.8,91.9,89.7,91.25,537856.0,NMDC
2016-01-04,91.25,91.25,89.65,89.95,637621.0,NMDC
2016-01-05,90.45,93.8,89.8,93.25,2135028.0,NMDC
2016-01-06,93.75,95.0,90.25,90.6,1356957.0,NMDC
2016-01-07,89.8,91.2,87.5,88.05,1111862.0,NMDC
2016-01-08,89.45,90.1,87.8,89.15,1161047.0,NMDC
2016-01-11,88.25,89.25,87.2,87.95,1276967.0,NMDC
2016-01-12,88.15,89.95,87.95,89.7,955997.0,NMDC
2016-01-13,90.2,90.2,86.9,88.25,1419023.0,NMDC
2016-01-14,87.5,88.45,87.0,87.35,980647.0,NMDC
2016-01-15,87.6,88.5,85.55,86.0,943899.0,NMDC
2016-01-18,85.95,86.0,84.0,84.55,1392920.0,NMDC
2016-01-19,85.15,85.35,83.15,83.5,1287960.0,NMDC
2016-01-20,83.0,83.3,78.85,80.8,1758777.0,NMDC
2016-01-21,82.0,82.9,76.3,76.65,3042927.0,NMDC
2016-01-22,78.05,80.6,77.65,80.3,1356891.0,NMDC
2016-01-25,81.2,82.25,80.35,80.65,1023152.0,NMDC
2016-01-27,80.7,81.0,79.05,80.1,992119.0,NMDC
2016-01-28,80.0,80.25,78.2,78.65,2648406.0,NMDC
2016-01-29,78.65,81.25,78.5,80.75,1207008.0,NMDC
2016-02-01,82.4,82.4,80.1,80.35,685919.0,NMDC
2016-02-02,80.5,80.9,78.65,78.9,1579819.0,NMDC
2016-02-03,78.5,79.9,77.15,77.6,1728166.0,NMDC
2016-02-04,79.45,81.9,78.5,81.25,1696043.0,NMDC
2016-02-05,82.5,85.0,82.2,84.6,2539332.0,NMDC
2016-02-08,85.5,85.7,82.8,83.05,860228.0,NMDC
2016-02-09,82.5,85.95,82.3,84.85,1445411.0,NMDC
2016-02-10,84.0,85.5,82.55,84.1,1015635.0,NMDC
2016-02-11,84.0,84.8,77.5,79.2,1494981.0,NMDC
2016-02-12,80.0,80.0,75.15,78.65,2011558.0,NMDC
2016-02-15,85.8,92.75,82.0,89.75,10409773.0,NMDC
2016-02-16,91.0,91.8,88.35,89.45,5153547.0,NMDC
2016-02-17,89.85,91.0,88.1,89.25,7773551.0,NMDC
2016-02-18,90.5,90.9,88.2,88.85,5432058.0,NMDC
2016-02-19,89.0,92.7,88.8,91.95,7292940.0,NMDC
2016-02-22,92.95,94.05,92.25,92.75,7061178.0,NMDC
2016-02-23,92.9,95.0,92.0,93.2,6513576.0,NMDC
2016-02-24,82.0,85.2,80.0,80.45,12608785.0,NMDC
2016-02-25,80.7,81.9,78.5,80.85,5390679.0,NMDC
2016-02-26,81.85,82.25,79.55,79.95,2299118.0,NMDC
2016-02-29,80.3,82.8,79.4,81.4,3442818.0,NMDC
2016-03-01,82.2,82.85,80.5,82.4,2476349.0,NMDC
2016-03-02,83.15,84.45,82.85,83.95,2949813.0,NMDC
