Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,1018.5,1030.0,1005.0,1010.0,67558.0,PEL
2016-01-04,1016.0,1026.9,983.0,989.2,52548.0,PEL
2016-01-05,991.2,1007.0,980.0,985.75,45072.0,PEL
2016-01-06,997.0,1012.9,976.5,990.9,633293.0,PEL
2016-01-07,983.35,999.75,963.0,967.6,48634.0,PEL
2016-01-08,978.0,984.4,972.0,979.4,64674.0,PEL
2016-01-11,982.0,986.95,946.25,954.3,51423.0,PEL
2016-01-12,959.0,959.0,925.5,932.0,43674.0,PEL
2016-01-13,941.45,952.0,925.0,945.7,390396.0,PEL
2016-01-14,944.95,948.45,921.2,939.35,54018.0,PEL
2016-01-15,934.95,948.0,906.0,911.05,29783.0,PEL
2016-01-18,911.05,920.95,882.05,885.45,58408.0,PEL
2016-01-19,895.85,905.0,888.8,895.3,19288.0,PEL
2016-01-20,900.0,905.0,879.05,892.4,54735.0,PEL
2016-01-21,900.0,923.85,870.0,891.45,322436.0,PEL
2016-01-22,899.85,921.0,891.05,910.8,61446.0,PEL
2016-01-25,906.9,947.9,906.9,942.8,94651.0,PEL
2016-01-27,949.9,987.8,949.9,972.8,128828.0,PEL
2016-01-28,967.15,986.0,920.5,966.25,464140.0,PEL
2016-01-29,983.0,1009.95,969.55,993.55,202373.0,PEL
2016-02-01,1000.15,1009.9,975.05,989.05,42912.0,PEL
2016-02-02,985.0,995.0,951.0,954.25,58141.0,PEL
2016-02-03,951.0,960.0,911.65,923.2,65410.0,PEL
2016-02-04,930.0,943.0,916.0,924.9,65126.0,PEL
2016-02-05,933.0,983.0,922.55,974.65,57276.0,PEL
2016-02-08,979.7,988.0,944.6,949.2,188189.0,PEL
2016-02-09,950.5,969.95,923.5,960.85,574453.0,PEL
2016-02-10,960.85,975.0,941.0,944.1,45258.0,PEL
2016-02-11,952.9,955.9,929.0,935.05,48547.0,PEL
2016-02-12,949.85,959.9,922.0,953.6,61249.0,PEL
2016-02-15,957.2,989.0,957.2,985.85,36732.0,PEL
2016-02-16,980.4,988.95,931.6,939.15,120162.0,PEL
2016-02-17,933.25,939.0,899.35,912.5,120489.0,PEL
2016-02-18,917.05,942.0,917.05,935.0,52667.0,PEL
2016-02-19,935.9,939.85,910.0,922.1,179234.0,PEL
2016-02-22,924.0,939.95,923.15,926.25,29466.0,PEL
2016-02-23,923.0,933.4,886.0,887.75,115181.0,PEL
2016-02-24,888.15,909.0,881.0,899.3,91746.0,PEL
2016-02-25,900.0,909.0,861.0,868.35,124906.0,PEL
2016-02-26,873.15,897.0,873.15,885.05,88348.0,PEL
2016-02-29,893.95,928.65,876.0,908.1,124521.0,PEL
2016-03-01,908.0,925.0,880.25,883.8,164905.0,PEL
2016-03-02,899.0,904.5,884.95,889.75,597222.0,PEL
2016-03-03,899.0,909.0,832.25,889.5,1193503.0,PEL
2016-03-04,890.5,909.0,885.0,898.8,71063.0,PEL
2016-03-08,898.0,925.0,898.0,916.15,81532.0,PEL
2016-03-09,911.0,924.7,910.0,916.25,39832.0,PEL
2016-03-10,915.15,934.0,914.95,921.4,59636.0,PEL
2016-03-11,923.3,944.35,920.75,929.3,64324.0,PEL
2016-03-14,939.5,939.5,922.5,927.45,34282.0,PEL
2016-03-15,935.0,940.0,921.1,938.4,102691.0,PEL
2016-03-16,939.0,944.0,926.0,938.55,181960.0,PEL
2016-03-17,933.5,942.0,926.85,939.1,71339.0,PEL
2016-03-18,945.5,968.0,930.15,958.9,152781.0,PEL
2016-03-21,969.95,969.95,950.1,966.85,49756.0,PEL
2016-03-22,967.95,979.0,960.1,972.45,58818.0,PEL
2016-03-23,963.05,988.5,963.05,984.1,114117.0,PEL
2016-03-28,984.1,991.0,972.05,983.35,39080.0,PEL
2016-03-29,985.0,987.95,961.0,980.2,79311.0,PEL
2016-03-30,988.0,1067.95,987.85,1019.5,222586.0,PEL
2016-03-31,1040.0,1049.55,1012.6,1036.45,129305.0,PEL
2016-04-01,1039.5,1053.95,1024.45,1048.25,93953.0,PEL
2016-04-04,1054.9,1096.0,1052.95,1090.1,198604.0,PEL
2016-04-05,1092.95,1110.7,1080.1,1097.95,136110.0,PEL
2016-04-06,1104.0,1132.5,1057.0,1072.3,210529.0,PEL
2016-04-07,1072.3,1107.0,1070.1,1088.7,75063.0,PEL
2016-04-08,1096.9,1104.55,1041.25,1060.3,163403.0,PEL
2016-04-11,1053.05,1066.95,1045.0,1052.85,67673.0,PEL
2016-04-12,1060.0,1094.9,1053.6,1086.8,137543.0,PEL
2016-04-13,1086.9,1093.4,1060.7,1084.8,61780.0,PEL
2016-04-18,1095.0,1098.0,1072.0,1084.35,114868.0,PEL
2016-04-20,1090.7,1090.7,1044.7,1061.0,363029.0,PEL
2016-04-21,1069.0,1084.9,1050.1,1080.5,53595.0,PEL
2016-04-22,1079.95,1080.0,1060.0,1076.15,22131.0,PEL
2016-04-25,1062.0,1119.5,1062.0,1098.8,64028.0,PEL
2016-04-26,1100.0,1123.95,1080.3,1098.95,97910.0,PEL
2016-04-27,1086.1,1119.0,1086.1,1108.85,91205.0,PEL
2016-04-28,1110.0,1149.95,1101.0,1145.4,188626.0,PEL
2016-04-29,1148.9,1209.8,1146.55,1190.25,179860.0,PEL
