Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,256.75,261.9,256.05,259.0,2341922.0,PETRONET
2016-01-04,258.0,258.5,249.0,249.6,1957511.0,PETRONET
2016-01-05,256.25,261.6,251.7,259.8,4009042.0,PETRONET
2016-01-06,262.15,272.7,261.0,268.2,6413515.0,PETRONET
2016-01-07,265.0,272.05,257.65,263.05,5082832.0,PETRONET
2016-01-08,264.85,269.7,263.35,264.05,1705569.0,PETRONET
2016-01-11,257.35,265.0,257.35,261.85,2002300.0,PETRONET
2016-01-12,265.0,265.0,255.8,257.15,2003784.0,PETRONET
2016-01-13,257.9,263.35,249.0,259.75,1980636.0,PETRONET
2016-01-14,257.0,261.0,253.85,256.6,1382866.0,PETRONET
2016-01-15,256.6,258.75,250.6,252.5,733455.0,PETRONET
2016-01-18,254.0,255.4,246.65,248.55,1255392.0,PETRONET
2016-01-19,247.05,251.55,243.5,248.15,1148062.0,PETRONET
2016-01-20,246.0,247.0,239.75,242.1,1280325.0,PETRONET
2016-01-21,242.7,246.2,240.1,241.9,2032101.0,PETRONET
2016-01-22,241.0,252.9,241.0,251.2,2816219.0,PETRONET
2016-01-25,254.15,255.75,250.25,251.1,2244163.0,PETRONET
2016-01-27,251.6,252.5,245.0,248.1,2186667.0,PETRONET
2016-01-28,248.75,248.75,241.75,243.35,2486951.0,PETRONET
2016-01-29,242.05,249.9,240.9,245.6,1854151.0,PETRONET
2016-02-01,248.0,258.05,246.95,255.6,2311995.0,PETRONET
2016-02-02,258.0,259.0,252.65,254.55,1621386.0,PETRONET
2016-02-03,253.55,257.95,250.0,254.0,1696963.0,PETRONET
2016-02-04,256.5,258.2,253.2,255.7,1216249.0,PETRONET
2016-02-05,256.25,264.9,253.65,263.9,1267134.0,PETRONET
2016-02-08,263.9,266.35,252.4,254.1,1618516.0,PETRONET
2016-02-09,252.0,256.7,249.85,253.3,1291922.0,PETRONET
2016-02-10,253.3,254.5,247.0,251.3,1632316.0,PETRONET
2016-02-11,241.95,248.8,241.0,246.0,3520223.0,PETRONET
2016-02-12,248.0,248.2,239.0,241.35,1644401.0,PETRONET
2016-02-15,242.4,260.0,242.4,258.2,1988476.0,PETRONET
2016-02-16,259.0,260.8,245.45,247.9,1055035.0,PETRONET
2016-02-17,250.0,250.0,232.4,238.05,1685000.0,PETRONET
2016-02-18,238.7,245.8,238.7,244.65,867916.0,PETRONET
