Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,116.0,117.9,115.5,117.6,4070369.0,PNB
2016-01-04,117.0,117.0,112.5,112.8,6341172.0,PNB
2016-01-05,113.0,113.35,110.2,110.6,7271156.0,PNB
2016-01-06,110.95,111.8,109.3,109.6,5910731.0,PNB
2016-01-07,108.1,108.45,104.5,105.05,7497260.0,PNB
2016-01-08,106.0,106.75,104.9,105.1,3802305.0,PNB
2016-01-11,103.0,104.25,101.7,102.9,5427630.0,PNB
2016-01-12,103.0,103.5,99.25,99.65,5896423.0,PNB
2016-01-13,100.8,101.2,95.6,98.0,8600712.0,PNB
2016-01-14,96.0,98.3,94.2,97.8,6363630.0,PNB
2016-01-15,98.8,98.8,91.25,92.2,7222691.0,PNB
2016-01-18,93.0,94.2,88.8,90.85,9931003.0,PNB
2016-01-19,91.3,93.4,91.0,92.45,6686327.0,PNB
2016-01-20,89.95,90.5,86.5,87.25,8017246.0,PNB
2016-01-21,88.65,90.35,87.35,88.6,11589718.0,PNB
2016-01-22,89.9,93.0,89.2,92.5,11244721.0,PNB
2016-01-25,94.0,94.25,91.6,91.85,5318999.0,PNB
2016-01-27,92.3,94.6,90.55,93.75,6478152.0,PNB
2016-01-28,93.9,93.95,91.1,91.4,7632697.0,PNB
2016-01-29,91.2,92.0,88.1,91.3,7763785.0,PNB
2016-02-01,91.8,91.8,89.45,90.05,5232221.0,PNB
2016-02-02,90.0,93.0,89.05,89.5,9705728.0,PNB
2016-02-03,88.15,90.0,87.1,89.25,5636876.0,PNB
2016-02-04,90.8,91.6,89.2,90.9,5823104.0,PNB
2016-02-05,91.35,95.5,90.6,94.7,6770437.0,PNB
2016-02-08,95.15,97.8,93.35,94.3,7567138.0,PNB
2016-02-09,92.0,94.95,87.2,87.75,30890669.0,PNB
2016-02-10,86.3,86.65,79.2,79.95,26606824.0,PNB
2016-02-11,79.0,80.5,76.1,77.05,16421708.0,PNB
2016-02-12,77.1,77.15,72.5,73.65,12215510.0,PNB
2016-02-15,76.0,79.0,75.05,76.5,14695012.0,PNB
2016-02-16,77.4,78.0,72.15,72.5,10568003.0,PNB
2016-02-17,72.6,73.2,69.3,72.65,12451921.0,PNB
2016-02-18,73.95,74.9,71.35,72.45,7903275.0,PNB
2016-02-19,72.45,76.8,71.85,76.15,16318164.0,PNB
2016-02-22,76.5,77.8,75.05,75.55,7213267.0,PNB
2016-02-23,74.2,74.9,72.4,72.7,7656415.0,PNB
2016-02-24,70.7,73.65,69.25,72.2,13589385.0,PNB
2016-02-25,72.25,73.2,71.1,71.75,5975910.0,PNB
2016-02-26,72.9,73.35,71.55,72.5,7290229.0,PNB
2016-02-29,73.1,75.45,70.5,71.0,18897468.0,PNB
2016-03-01,72.0,74.0,72.0,73.65,7025298.0,PNB
2016-03-02,77.1,79.35,76.8,78.65,14897378.0,PNB
2016-03-03,80.15,80.4,76.5,79.0,9360691.0,PNB
2016-03-04,78.5,84.45,77.5,83.0,20605169.0,PNB
2016-03-08,82.75,83.05,80.85,81.5,9177778.0,PNB
2016-03-09,80.0,83.0,79.55,82.7,8651489.0,PNB
2016-03-10,83.7,83.9,81.1,81.8,6709519.0,PNB
2016-03-11,81.7,82.85,80.45,81.85,6118213.0,PNB
2016-03-14,83.4,83.4,81.55,82.3,4796884.0,PNB
2016-03-15,82.7,84.45,82.1,83.3,7553332.0,PNB
2016-03-16,83.7,84.2,80.95,82.75,6788879.0,PNB
2016-03-17,85.0,85.0,82.3,82.75,6004065.0,PNB
2016-03-18,83.6,84.6,82.45,84.3,5210801.0,PNB
2016-03-21,85.4,87.5,85.1,86.4,9559481.0,PNB
2016-03-22,86.95,86.95,84.8,85.95,5653763.0,PNB
2016-03-23,85.8,85.95,84.2,84.7,5714949.0,PNB
2016-03-28,84.9,85.25,81.7,82.15,6095882.0,PNB
2016-03-29,82.0,83.05,81.05,81.95,5203411.0,PNB
2016-03-30,82.5,86.2,82.3,85.55,8356521.0,PNB
2016-03-31,85.25,86.4,84.4,84.7,12485726.0,PNB
2016-04-01,84.5,88.1,84.25,87.65,10487538.0,PNB
2016-04-04,88.5,88.6,86.1,86.85,5271040.0,PNB
2016-04-05,86.8,87.4,82.1,82.8,10546767.0,PNB
2016-04-06,82.8,83.25,81.0,81.35,6204590.0,PNB
2016-04-07,81.9,82.55,80.25,81.0,7049389.0,PNB
2016-04-08,80.9,81.85,79.9,81.5,3862497.0,PNB
2016-04-11,81.9,83.4,80.2,83.05,6957616.0,PNB
2016-04-12,83.35,84.25,82.7,83.45,5233194.0,PNB
2016-04-13,84.9,85.8,84.15,84.6,5928217.0,PNB
2016-04-18,84.3,84.4,80.85,82.5,5067674.0,PNB
2016-04-20,83.3,84.85,82.05,84.3,6313954.0,PNB
2016-04-21,85.1,91.5,85.1,88.6,19246303.0,PNB
2016-04-22,87.9,91.25,87.6,90.1,11826755.0,PNB
2016-04-25,90.4,91.15,88.45,89.2,6476934.0,PNB
2016-04-26,88.7,90.7,87.8,90.15,7516256.0,PNB
2016-04-27,90.15,92.15,89.55,90.1,6923537.0,PNB
2016-04-28,90.4,91.15,87.9,88.2,6551956.0,PNB
2016-04-29,88.3,89.15,84.2,86.95,9480942.0,PNB
2016-05-02,86.8,86.8,83.7,84.15,6845550.0,PNB
2016-05-03,84.75,86.2,82.6,82.9,6894167.0,PNB
2016-05-04,82.7,83.75,81.0,81.25,6401120.0,PNB
2016-05-05,82.5,82.5,80.8,81.45,5438243.0,PNB
2016-05-06,81.5,82.5,80.1,80.7,8653694.0,PNB
2016-05-09,81.5,82.9,81.3,82.75,5731887.0,PNB
2016-05-10,82.7,83.2,81.3,82.55,5975377.0,PNB
2016-05-11,81.1,82.35,79.3,79.5,9023281.0,PNB
2016-05-12,80.4,80.5,78.25,79.35,9312004.0,PNB
2016-05-13,79.35,79.45,76.8,77.6,6032591.0,PNB
2016-05-16,76.95,77.0,73.7,74.95,8869168.0,PNB
2016-05-17,75.25,75.65,73.0,73.75,10832961.0,PNB
2016-05-18,72.9,77.15,72.1,76.2,53402234.0,PNB
2016-05-19,74.5,75.5,73.45,74.05,14829522.0,PNB
2016-05-20,74.25,74.65,72.7,73.35,7170774.0,PNB
2016-05-23,73.8,73.95,72.05,72.25,5762911.0,PNB
2016-05-24,72.05,72.7,71.05,71.85,5335725.0,PNB
2016-05-25,73.1,74.3,72.7,74.0,6753231.0,PNB
2016-05-26,74.2,75.1,73.0,74.55,7655312.0,PNB
2016-05-27,75.3,77.7,74.8,76.6,8606243.0,PNB
2016-05-30,78.0,78.9,76.4,77.2,8799323.0,PNB
2016-05-31,77.9,79.5,75.65,79.0,10240573.0,PNB
2016-06-01,79.0,79.75,76.25,76.7,8993217.0,PNB
2016-06-02,76.6,77.85,76.0,77.45,6057502.0,PNB
2016-06-03,78.05,78.75,75.45,76.15,7616323.0,PNB
2016-06-06,76.45,77.8,76.05,77.0,5897442.0,PNB
2016-06-07,77.5,78.65,76.3,77.65,10613718.0,PNB
2016-06-08,77.75,81.4,77.4,80.7,17047951.0,PNB
2016-06-09,81.2,84.4,80.95,82.3,22320765.0,PNB
2016-06-10,82.3,84.95,81.95,84.2,18694884.0,PNB
2016-06-13,82.55,83.45,81.75,83.0,8970712.0,PNB
2016-06-14,84.5,90.75,84.5,89.9,28103102.0,PNB
2016-06-15,91.15,91.55,89.5,90.0,18835068.0,PNB
2016-06-16,89.5,92.95,88.6,92.6,23936547.0,PNB
2016-06-17,93.6,94.95,93.05,94.6,15970335.0,PNB
2016-06-20,92.4,96.8,92.0,96.5,17693806.0,PNB
2016-06-21,97.0,98.9,96.6,97.0,12387930.0,PNB
2016-06-22,96.9,97.9,96.0,97.0,10891950.0,PNB
2016-06-23,98.0,99.7,98.0,99.25,11372569.0,PNB
2016-06-24,95.8,103.0,93.55,102.4,26994254.0,PNB
2016-06-27,103.75,104.95,102.9,104.35,15188902.0,PNB
2016-06-28,104.9,105.5,103.3,104.3,10418872.0,PNB
2016-06-29,105.2,105.4,104.05,104.4,6618702.0,PNB
2016-06-30,105.5,106.5,104.65,105.9,8714879.0,PNB
2016-07-01,106.1,106.7,104.85,105.25,7061717.0,PNB
2016-07-04,106.2,113.65,105.6,112.65,22334797.0,PNB
2016-07-05,113.0,116.45,112.55,113.95,17612794.0,PNB
2016-07-07,117.0,118.9,116.4,116.85,16287980.0,PNB
2016-07-08,117.9,118.7,114.0,117.6,15826201.0,PNB
2016-07-11,121.0,128.45,119.9,127.3,28664551.0,PNB
2016-07-12,128.45,129.3,124.4,126.25,27472799.0,PNB
2016-07-13,126.9,127.2,123.55,125.05,14121570.0,PNB
