Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,226.55,228.8,226.15,228.15,520577.0,RECLTD
2016-01-04,227.8,230.4,223.0,223.55,818111.0,RECLTD
2016-01-05,223.95,229.75,222.95,227.9,1787778.0,RECLTD
2016-01-06,228.0,231.3,226.45,228.3,1578570.0,RECLTD
2016-01-07,225.9,225.9,213.0,214.3,2021542.0,RECLTD
2016-01-08,215.0,217.8,214.05,215.1,954284.0,RECLTD
2016-01-11,214.9,215.45,210.8,212.9,1498752.0,RECLTD
2016-01-12,213.6,216.15,209.0,211.0,1780905.0,RECLTD
2016-01-13,212.95,213.9,204.75,210.15,1565856.0,RECLTD
2016-01-14,208.0,208.6,204.0,205.8,971005.0,RECLTD
2016-01-15,205.9,207.4,194.25,195.3,1502526.0,RECLTD
2016-01-18,195.0,195.45,183.5,185.15,1476155.0,RECLTD
2016-01-19,185.5,189.0,182.3,184.25,1847800.0,RECLTD
2016-01-20,182.7,182.8,176.9,177.9,2362227.0,RECLTD
2016-01-21,179.25,181.8,173.65,174.35,2139833.0,RECLTD
2016-01-22,177.85,184.8,175.6,183.55,2015194.0,RECLTD
2016-01-25,186.0,190.0,185.9,186.55,1930569.0,RECLTD
2016-01-27,186.95,190.0,183.15,187.0,2634659.0,RECLTD
2016-01-28,187.0,192.2,186.1,187.7,5204873.0,RECLTD
2016-01-29,188.05,194.0,187.0,192.8,2014265.0,RECLTD
2016-02-01,194.35,197.0,190.55,193.6,1334438.0,RECLTD
2016-02-02,193.0,194.4,185.0,185.75,2084924.0,RECLTD
2016-02-03,183.0,184.0,177.35,178.9,2014058.0,RECLTD
2016-02-04,180.8,186.4,179.7,182.6,1466868.0,RECLTD
2016-02-05,183.1,191.5,182.7,190.65,1428188.0,RECLTD
2016-02-08,192.95,199.2,191.8,192.55,1833710.0,RECLTD
2016-02-09,191.5,193.8,183.35,184.5,1958243.0,RECLTD
2016-02-10,184.0,184.75,169.7,172.25,7471979.0,RECLTD
2016-02-11,172.85,175.9,165.0,166.25,4583699.0,RECLTD
2016-02-12,169.7,169.8,157.3,162.05,5288616.0,RECLTD
2016-02-15,166.4,174.2,165.1,170.95,2805305.0,RECLTD
2016-02-16,172.95,176.4,168.3,169.25,4407114.0,RECLTD
2016-02-17,155.8,163.0,152.25,161.55,4500620.0,RECLTD
2016-02-18,163.5,165.3,153.25,155.85,3906277.0,RECLTD
2016-02-19,154.3,160.2,153.65,159.55,3024094.0,RECLTD
2016-02-22,160.05,161.5,157.55,158.9,1102348.0,RECLTD
2016-02-23,158.9,160.1,155.5,156.15,2089804.0,RECLTD
2016-02-24,156.0,156.8,152.45,153.25,2522096.0,RECLTD
2016-02-25,153.4,157.7,152.95,156.2,4204450.0,RECLTD
2016-02-26,159.0,159.0,154.25,156.45,2235125.0,RECLTD
2016-02-29,156.9,159.15,153.1,155.9,4996053.0,RECLTD
2016-03-01,157.0,160.5,156.0,159.55,2928018.0,RECLTD
2016-03-02,162.3,166.95,162.0,163.95,2824248.0,RECLTD
2016-03-03,165.8,167.0,162.5,165.85,2319743.0,RECLTD
2016-03-04,166.6,174.4,165.1,171.75,4301933.0,RECLTD
2016-03-08,172.5,172.75,165.5,167.0,3109094.0,RECLTD
2016-03-09,166.2,170.5,164.5,169.6,2346180.0,RECLTD
2016-03-10,170.65,172.4,166.55,167.55,2536562.0,RECLTD
2016-03-11,168.75,169.9,164.75,166.35,1967243.0,RECLTD
2016-03-14,169.0,169.55,166.25,167.4,2164840.0,RECLTD
