Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,1202.25,1214.95,1194.3,1202.65,132087.0,SIEMENS
2016-01-04,1198.0,1211.15,1183.65,1190.25,149589.0,SIEMENS
2016-01-05,1195.2,1201.95,1186.05,1195.8,165379.0,SIEMENS
2016-01-06,1198.85,1225.65,1197.05,1205.3,356156.0,SIEMENS
2016-01-07,1195.0,1195.0,1124.45,1132.05,257689.0,SIEMENS
2016-01-08,1137.0,1152.15,1132.05,1140.6,203165.0,SIEMENS
2016-01-11,1135.1,1148.0,1114.3,1127.85,178428.0,SIEMENS
2016-01-12,1134.0,1145.0,1121.7,1125.6,122752.0,SIEMENS
2016-01-13,1132.0,1138.9,1091.2,1122.3,282173.0,SIEMENS
2016-01-14,1109.0,1117.1,1087.7,1104.75,146425.0,SIEMENS
2016-01-15,1112.0,1112.0,1051.25,1058.4,170119.0,SIEMENS
2016-01-18,1068.0,1070.45,1008.85,1013.7,221933.0,SIEMENS
2016-01-19,1018.0,1043.0,1000.35,1035.15,189419.0,SIEMENS
2016-01-20,1028.0,1028.0,988.0,1009.25,268543.0,SIEMENS
2016-01-21,1013.0,1029.0,968.6,974.75,369182.0,SIEMENS
2016-01-22,992.8,1009.0,975.55,1000.5,252034.0,SIEMENS
2016-01-25,1013.0,1024.5,1002.1,1008.1,172709.0,SIEMENS
2016-01-27,1020.0,1023.65,992.25,1010.0,301668.0,SIEMENS
2016-01-28,1011.0,1020.0,976.9,984.1,330723.0,SIEMENS
2016-01-29,992.95,1037.0,969.15,1020.8,1128002.0,SIEMENS
2016-02-01,1020.8,1047.0,976.0,1035.2,414645.0,SIEMENS
2016-02-02,1036.0,1047.0,1024.0,1031.75,320010.0,SIEMENS
2016-02-03,1013.0,1028.5,995.0,1012.0,302605.0,SIEMENS
2016-02-04,1026.1,1065.2,1012.2,1048.15,504923.0,SIEMENS
2016-02-05,1060.0,1064.9,1026.15,1037.6,269281.0,SIEMENS
2016-02-08,1040.0,1068.0,1032.7,1050.9,244373.0,SIEMENS
2016-02-09,1045.5,1057.85,1018.0,1021.25,189079.0,SIEMENS
2016-02-10,1025.95,1032.5,1001.75,1017.45,192601.0,SIEMENS
2016-02-11,1011.5,1018.0,970.0,982.8,259418.0,SIEMENS
2016-02-12,993.0,1006.0,970.6,995.65,481370.0,SIEMENS
2016-02-15,1000.0,1046.0,1000.0,1042.45,183615.0,SIEMENS
2016-02-16,1040.05,1048.8,990.05,994.45,296806.0,SIEMENS
2016-02-17,998.0,1038.45,972.5,1028.9,327307.0,SIEMENS
2016-02-18,1041.25,1047.0,1016.05,1031.15,241245.0,SIEMENS
2016-02-19,1034.0,1045.0,1016.35,1041.2,141997.0,SIEMENS
2016-02-22,1042.1,1058.25,1032.05,1036.4,227743.0,SIEMENS
2016-02-23,1036.5,1039.95,1006.55,1016.95,191879.0,SIEMENS
2016-02-24,1005.1,1015.0,987.0,993.35,329206.0,SIEMENS
2016-02-25,997.0,1092.0,978.0,992.25,493716.0,SIEMENS
2016-02-26,1004.8,1009.0,986.0,993.4,172026.0,SIEMENS
2016-02-29,994.5,999.95,971.8,986.0,253698.0,SIEMENS
2016-03-01,992.0,1032.45,990.0,1025.55,254749.0,SIEMENS
2016-03-02,1045.0,1074.0,1040.5,1053.6,409966.0,SIEMENS
2016-03-03,1059.7,1066.0,1033.0,1049.35,415503.0,SIEMENS
2016-03-04,1055.0,1059.4,1038.15,1044.1,366594.0,SIEMENS
2016-03-08,1055.0,1066.0,1029.25,1046.7,516238.0,SIEMENS
2016-03-09,1051.9,1051.9,1027.2,1041.95,253767.0,SIEMENS
2016-03-10,1050.0,1052.8,1024.0,1035.4,244433.0,SIEMENS
2016-03-11,1034.0,1039.9,1027.0,1032.95,159729.0,SIEMENS
2016-03-14,1039.0,1047.5,1026.2,1034.6,160926.0,SIEMENS
2016-03-15,1035.0,1039.5,1016.0,1021.8,168875.0,SIEMENS
2016-03-16,1021.9,1024.95,991.0,1004.6,319226.0,SIEMENS
2016-03-17,1011.1,1033.8,1011.1,1025.45,298642.0,SIEMENS
2016-03-18,1025.45,1061.0,1025.4,1052.45,452664.0,SIEMENS
2016-03-21,1052.0,1075.0,1052.0,1071.85,194816.0,SIEMENS
2016-03-22,1078.0,1086.5,1058.0,1072.55,243807.0,SIEMENS
2016-03-23,1071.0,1096.9,1064.1,1093.45,271895.0,SIEMENS
2016-03-28,1099.0,1106.95,1062.0,1072.45,184307.0,SIEMENS
2016-03-29,1056.0,1082.85,1056.0,1071.7,171498.0,SIEMENS
2016-03-30,1086.0,1101.05,1070.75,1096.25,289256.0,SIEMENS
