Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,859.0,869.9,855.0,865.7,116323.0,SRTRANSFIN
2016-01-04,856.65,877.8,834.15,840.9,272775.0,SRTRANSFIN
2016-01-05,848.95,871.3,837.35,864.9,335402.0,SRTRANSFIN
2016-01-06,864.9,891.5,863.4,872.6,732764.0,SRTRANSFIN
2016-01-07,865.0,866.05,815.4,821.55,251058.0,SRTRANSFIN
2016-01-08,827.0,856.0,827.0,841.95,514771.0,SRTRANSFIN
2016-01-11,837.0,841.7,812.0,818.0,350002.0,SRTRANSFIN
2016-01-12,824.0,824.75,806.0,808.0,207760.0,SRTRANSFIN
2016-01-13,811.0,819.55,786.4,806.65,641453.0,SRTRANSFIN
2016-01-14,797.8,808.55,786.0,799.8,1206057.0,SRTRANSFIN
2016-01-15,799.95,814.5,762.0,764.9,236569.0,SRTRANSFIN
2016-01-18,769.0,777.0,743.0,767.25,488355.0,SRTRANSFIN
2016-01-19,777.0,784.0,755.35,775.25,433059.0,SRTRANSFIN
2016-01-20,771.05,771.05,744.6,750.15,408420.0,SRTRANSFIN
2016-01-21,755.0,763.0,736.95,741.05,704172.0,SRTRANSFIN
2016-01-22,751.0,767.25,746.1,752.6,525161.0,SRTRANSFIN
2016-01-25,756.85,767.05,747.0,749.3,208659.0,SRTRANSFIN
2016-01-27,750.0,758.0,739.4,747.25,424843.0,SRTRANSFIN
2016-01-28,746.0,755.9,737.1,750.75,790375.0,SRTRANSFIN
2016-01-29,750.1,859.3,750.1,844.25,1409489.0,SRTRANSFIN
2016-02-01,847.95,849.2,801.1,809.6,545574.0,SRTRANSFIN
2016-02-02,809.6,842.45,792.0,801.15,536748.0,SRTRANSFIN
2016-02-03,795.0,829.8,784.0,804.15,496733.0,SRTRANSFIN
2016-02-04,814.4,840.1,811.45,832.65,622258.0,SRTRANSFIN
2016-02-05,840.0,847.9,830.2,841.4,545454.0,SRTRANSFIN
2016-02-08,849.7,870.0,844.05,856.45,399665.0,SRTRANSFIN
2016-02-09,850.0,850.0,811.8,817.95,383163.0,SRTRANSFIN
2016-02-10,810.0,818.7,799.0,810.45,267121.0,SRTRANSFIN
2016-02-11,810.0,811.9,769.35,779.5,516571.0,SRTRANSFIN
2016-02-12,781.5,793.65,748.0,786.65,1015565.0,SRTRANSFIN
2016-02-15,814.0,822.05,779.1,813.2,333830.0,SRTRANSFIN
2016-02-16,820.0,841.95,805.55,809.15,388009.0,SRTRANSFIN
2016-02-17,811.05,837.0,800.1,833.9,392773.0,SRTRANSFIN
2016-02-18,840.0,847.8,825.5,834.9,229782.0,SRTRANSFIN
2016-02-19,834.9,842.8,811.25,826.2,322573.0,SRTRANSFIN
2016-02-22,837.2,849.0,817.25,841.5,268169.0,SRTRANSFIN
2016-02-23,850.2,853.3,802.0,809.35,536761.0,SRTRANSFIN
2016-02-24,801.0,822.45,796.5,815.05,326310.0,SRTRANSFIN
2016-02-25,821.95,821.95,782.6,795.95,790142.0,SRTRANSFIN
2016-02-26,796.9,806.45,775.5,800.1,484570.0,SRTRANSFIN
2016-02-29,803.5,812.9,773.15,805.55,747572.0,SRTRANSFIN
2016-03-01,805.1,863.9,802.15,850.1,979327.0,SRTRANSFIN
2016-03-02,853.1,882.8,853.1,867.6,727987.0,SRTRANSFIN
2016-03-03,883.95,886.0,859.1,878.3,533333.0,SRTRANSFIN
