Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,68.1,69.45,67.8,68.95,1973896.0,TATAPOWER
2016-01-04,68.9,69.9,67.5,68.25,2644953.0,TATAPOWER
2016-01-05,68.55,70.7,68.45,69.35,3266085.0,TATAPOWER
2016-01-06,69.3,69.75,68.0,68.8,3274557.0,TATAPOWER
2016-01-07,67.95,68.4,65.8,66.35,2616771.0,TATAPOWER
2016-01-08,67.0,69.3,66.35,68.7,2913346.0,TATAPOWER
2016-01-11,67.95,67.95,66.2,67.15,3288875.0,TATAPOWER
2016-01-12,67.65,68.25,66.45,67.0,2857305.0,TATAPOWER
2016-01-13,67.5,68.0,64.4,65.7,3728023.0,TATAPOWER
2016-01-14,65.1,65.85,63.5,64.75,2720635.0,TATAPOWER
2016-01-15,65.0,65.5,61.3,61.75,2254377.0,TATAPOWER
2016-01-18,61.45,63.45,61.1,61.65,2870369.0,TATAPOWER
2016-01-19,62.2,64.95,62.0,64.25,3722032.0,TATAPOWER
2016-01-20,63.2,63.7,60.4,61.75,3483973.0,TATAPOWER
2016-01-21,62.1,62.75,60.1,61.15,4223902.0,TATAPOWER
2016-01-22,62.4,62.5,61.5,61.75,2793950.0,TATAPOWER
2016-01-25,62.55,62.55,61.05,61.35,2573219.0,TATAPOWER
2016-01-27,62.4,62.4,61.0,61.3,2950538.0,TATAPOWER
2016-01-28,61.3,61.7,59.75,60.0,5165366.0,TATAPOWER
2016-01-29,60.2,61.35,59.8,60.1,4490327.0,TATAPOWER
2016-02-01,61.0,61.0,60.1,60.6,3874248.0,TATAPOWER
2016-02-02,60.75,60.85,58.4,58.75,4705494.0,TATAPOWER
2016-02-03,58.5,58.5,56.5,57.05,3077309.0,TATAPOWER
2016-02-04,57.45,59.85,57.45,59.05,3734608.0,TATAPOWER
2016-02-05,59.75,60.5,59.45,60.25,4254914.0,TATAPOWER
2016-02-08,60.25,60.8,58.65,58.95,4217105.0,TATAPOWER
2016-02-09,58.5,60.0,58.3,59.7,2166595.0,TATAPOWER
2016-02-10,59.55,59.8,57.65,59.2,2181050.0,TATAPOWER
