Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,1459.9,1509.9,1456.2,1478.9,375474.0,TORNTPHARM
2016-01-04,1470.0,1482.95,1442.1,1448.35,143612.0,TORNTPHARM
2016-01-05,1444.15,1459.7,1420.55,1435.95,186614.0,TORNTPHARM
2016-01-06,1430.15,1476.0,1430.15,1442.85,162094.0,TORNTPHARM
2016-01-07,1425.05,1440.05,1416.0,1425.0,163423.0,TORNTPHARM
2016-01-08,1425.2,1449.0,1425.2,1440.6,189952.0,TORNTPHARM
2016-01-11,1439.95,1439.95,1408.5,1416.5,199017.0,TORNTPHARM
2016-01-12,1417.3,1450.0,1414.7,1433.65,89837.0,TORNTPHARM
2016-01-13,1440.7,1455.75,1364.1,1409.85,227613.0,TORNTPHARM
2016-01-14,1365.05,1412.0,1365.05,1390.15,126518.0,TORNTPHARM
2016-01-15,1386.55,1402.25,1306.25,1323.8,246741.0,TORNTPHARM
2016-01-18,1302.15,1359.85,1271.0,1329.5,219038.0,TORNTPHARM
2016-01-19,1329.0,1379.8,1304.15,1370.75,122998.0,TORNTPHARM
2016-01-20,1350.0,1350.0,1284.1,1311.9,281492.0,TORNTPHARM
2016-01-21,1317.65,1353.4,1312.6,1338.95,135859.0,TORNTPHARM
2016-01-22,1341.05,1398.4,1341.05,1391.3,138269.0,TORNTPHARM
2016-01-25,1392.2,1411.0,1383.75,1399.9,141747.0,TORNTPHARM
2016-01-27,1401.0,1425.0,1390.0,1395.15,143793.0,TORNTPHARM
2016-01-28,1403.0,1405.0,1355.05,1384.0,197368.0,TORNTPHARM
2016-01-29,1392.75,1409.85,1384.75,1398.85,114040.0,TORNTPHARM
2016-02-01,1412.0,1412.0,1385.6,1395.9,97479.0,TORNTPHARM
2016-02-02,1403.95,1403.95,1342.0,1348.6,185352.0,TORNTPHARM
2016-02-03,1344.0,1394.0,1324.4,1378.65,138404.0,TORNTPHARM
2016-02-04,1389.9,1409.9,1333.35,1351.3,246450.0,TORNTPHARM
2016-02-05,1390.0,1402.0,1360.15,1374.3,907688.0,TORNTPHARM
2016-02-08,1381.95,1393.95,1325.0,1340.75,190781.0,TORNTPHARM
2016-02-09,1323.8,1338.85,1302.4,1326.55,94206.0,TORNTPHARM
2016-02-10,1329.95,1334.95,1302.5,1318.95,137502.0,TORNTPHARM
2016-02-11,1300.1,1309.9,1254.75,1266.1,308282.0,TORNTPHARM
2016-02-12,1270.0,1277.45,1189.0,1235.05,408712.0,TORNTPHARM
2016-02-15,1266.1,1307.0,1245.0,1301.45,160868.0,TORNTPHARM
2016-02-16,1301.0,1309.75,1237.1,1272.55,223295.0,TORNTPHARM
2016-02-17,1278.0,1330.95,1250.0,1322.9,161975.0,TORNTPHARM
2016-02-18,1330.05,1336.95,1305.1,1329.5,177184.0,TORNTPHARM
2016-02-19,1329.5,1358.45,1309.0,1334.8,73764.0,TORNTPHARM
2016-02-22,1335.0,1354.6,1304.6,1350.2,136956.0,TORNTPHARM
2016-02-23,1355.0,1359.7,1304.0,1308.55,97255.0,TORNTPHARM
2016-02-24,1304.95,1304.95,1250.0,1263.4,180970.0,TORNTPHARM
2016-02-25,1267.5,1285.0,1256.0,1265.15,178733.0,TORNTPHARM
2016-02-26,1272.55,1292.1,1243.05,1264.95,203396.0,TORNTPHARM
2016-02-29,1273.95,1275.0,1224.0,1261.0,192204.0,TORNTPHARM
2016-03-01,1265.0,1297.25,1251.15,1287.45,118325.0,TORNTPHARM
2016-03-02,1296.0,1325.0,1287.55,1301.15,314817.0,TORNTPHARM
2016-03-03,1315.0,1327.85,1297.7,1316.0,415342.0,TORNTPHARM
2016-03-04,1324.0,1348.1,1314.1,1328.75,244920.0,TORNTPHARM
2016-03-08,1335.0,1344.7,1306.0,1313.0,61507.0,TORNTPHARM
2016-03-09,1313.0,1317.8,1301.1,1309.4,131796.0,TORNTPHARM
2016-03-10,1319.0,1319.0,1270.2,1277.25,384421.0,TORNTPHARM
2016-03-11,1275.0,1295.75,1275.0,1287.9,91755.0,TORNTPHARM
2016-03-14,1288.0,1301.25,1275.0,1288.9,70365.0,TORNTPHARM
2016-03-15,1290.0,1291.45,1275.0,1278.55,65437.0,TORNTPHARM
2016-03-16,1270.0,1270.0,1250.0,1254.25,258536.0,TORNTPHARM
2016-03-17,1267.85,1271.9,1251.0,1256.1,284504.0,TORNTPHARM
2016-03-18,1270.0,1320.0,1262.0,1312.75,673058.0,TORNTPHARM
2016-03-21,1328.0,1358.0,1308.15,1347.75,379092.0,TORNTPHARM
2016-03-22,1356.9,1445.0,1350.0,1418.1,512079.0,TORNTPHARM
2016-03-23,1420.8,1430.85,1390.0,1398.0,188653.0,TORNTPHARM
2016-03-28,1399.0,1408.9,1359.25,1366.3,80474.0,TORNTPHARM
2016-03-29,1368.0,1368.35,1304.1,1340.8,215089.0,TORNTPHARM
2016-03-30,1340.1,1372.0,1325.55,1351.0,237762.0,TORNTPHARM
2016-03-31,1364.0,1373.3,1322.7,1340.25,290835.0,TORNTPHARM
2016-04-01,1348.0,1368.0,1343.25,1362.1,114817.0,TORNTPHARM
2016-04-04,1369.9,1409.8,1358.5,1398.1,138935.0,TORNTPHARM
2016-04-05,1398.1,1418.65,1384.0,1398.6,228814.0,TORNTPHARM
2016-04-06,1415.0,1415.0,1375.1,1380.65,93173.0,TORNTPHARM
2016-04-07,1379.5,1407.3,1376.2,1384.1,95664.0,TORNTPHARM
2016-04-08,1394.0,1449.0,1385.05,1436.75,207337.0,TORNTPHARM
2016-04-11,1450.0,1454.85,1420.1,1436.25,75245.0,TORNTPHARM
2016-04-12,1436.25,1471.0,1434.0,1458.25,114279.0,TORNTPHARM
2016-04-13,1470.0,1478.0,1456.0,1471.25,249406.0,TORNTPHARM
2016-04-18,1474.0,1487.0,1449.4,1474.2,180315.0,TORNTPHARM
2016-04-20,1466.0,1484.2,1420.5,1425.1,191155.0,TORNTPHARM
2016-04-21,1440.0,1467.7,1430.0,1460.8,111079.0,TORNTPHARM
2016-04-22,1468.8,1479.0,1458.1,1460.45,85222.0,TORNTPHARM
2016-04-25,1474.25,1474.25,1418.8,1422.7,108526.0,TORNTPHARM
2016-04-26,1424.0,1442.0,1410.1,1430.2,87468.0,TORNTPHARM
2016-04-27,1428.3,1452.0,1426.75,1442.85,93022.0,TORNTPHARM
2016-04-28,1436.0,1449.9,1412.4,1419.0,113277.0,TORNTPHARM
2016-04-29,1423.95,1442.7,1419.1,1430.25,63462.0,TORNTPHARM
2016-05-02,1426.0,1459.95,1415.9,1427.2,116707.0,TORNTPHARM
2016-05-03,1435.0,1446.95,1420.1,1435.35,74673.0,TORNTPHARM
2016-05-04,1439.95,1444.9,1395.55,1402.6,47949.0,TORNTPHARM
2016-05-05,1401.0,1408.8,1364.0,1400.65,105246.0,TORNTPHARM
2016-05-06,1400.0,1418.35,1382.5,1393.15,34760.0,TORNTPHARM
2016-05-09,1395.0,1418.15,1379.0,1388.85,126428.0,TORNTPHARM
2016-05-10,1390.0,1406.65,1377.6,1390.2,49716.0,TORNTPHARM
2016-05-11,1381.05,1399.0,1369.95,1384.05,42453.0,TORNTPHARM
2016-05-12,1388.95,1404.0,1382.0,1397.2,41994.0,TORNTPHARM
2016-05-13,1399.9,1407.9,1388.0,1391.7,47583.0,TORNTPHARM
2016-05-16,1399.0,1407.9,1381.85,1398.95,39962.0,TORNTPHARM
2016-05-17,1390.1,1396.05,1379.7,1385.2,49310.0,TORNTPHARM
2016-05-18,1384.6,1393.15,1380.0,1381.85,25708.0,TORNTPHARM
2016-05-19,1372.0,1389.7,1366.0,1374.7,31948.0,TORNTPHARM
2016-05-20,1380.7,1385.7,1315.0,1325.05,94081.0,TORNTPHARM
2016-05-23,1340.0,1355.0,1315.0,1329.55,71973.0,TORNTPHARM
2016-05-24,1290.0,1420.0,1250.0,1354.5,715729.0,TORNTPHARM
2016-05-25,1357.15,1405.0,1357.15,1391.45,181511.0,TORNTPHARM
2016-05-26,1391.0,1402.0,1370.0,1382.4,140030.0,TORNTPHARM
2016-05-27,1383.9,1406.0,1360.0,1378.5,139877.0,TORNTPHARM
2016-05-30,1379.0,1384.8,1353.25,1370.4,50413.0,TORNTPHARM
2016-05-31,1365.0,1369.95,1332.1,1341.75,91596.0,TORNTPHARM
2016-06-01,1355.45,1369.4,1331.0,1362.7,104152.0,TORNTPHARM
2016-06-02,1359.85,1359.85,1326.0,1335.95,112224.0,TORNTPHARM
