Date,p_l,g_l,right_bids,wrong_bids
2017-01-31,7437.32268162,0.204572909605,40.0,8.0
2017-02-28,6603.48641809,0.196766249209,40.0,8.0
2017-03-31,6555.11999352,0.191225515427,46.0,10.0
2017-04-30,3095.96042052,0.117894555255,32.0,11.0
2017-05-31,3108.10560757,0.107458950657,23.0,11.0
2017-06-30,3601.33281857,0.0705629442835,26.0,10.0
2017-07-31,5564.81778415,0.0922329597614,26.0,5.0
2017-08-31,491.327857081,0.0394230510987,12.0,6.0
2017-09-30,3490.33171304,0.1151588467,28.0,9.0
2017-10-31,6586.00076738,0.121130064685,30.0,5.0
2017-11-30,4806.15726854,0.0995999816102,22.0,16.0
2017-12-31,2048.79471824,0.0904494188098,33.0,17.0
